system_id,model_id,judge_id,coverage,accepted_bad_count,mean_bad_rmse,median_bad_rmse,worst_bad_rmse,mean_support_distance,mean_uncertainty_score,mean_disagreement_score,mean_invariant_residual,mean_repair_amount
cstr,hold_last,calibration_selected_candidate_ranker,0.05,35,3.664111276321718,2.401217043458526,10.727370523221468,9.30150160669771,6.509078990088062e-15,2.403227079542077,0.19204556900383501,0.0
cstr,hold_last,calibration_selected_candidate_ranker,0.1,70,3.7845363930514386,2.452261663328902,10.727370523221468,9.325703588762233,4.480542920808668e-15,2.465872629258808,0.19864366294642902,0.0
cstr,linear_narx,calibration_selected_candidate_ranker,0.05,5,1.0082878938943662,0.9992559879324808,1.033158835979831,25.7834629021903,0.01178968212242702,6.188050240892866,0.05156109068167034,0.0
cstr,linear_narx,calibration_selected_candidate_ranker,0.1,10,1.0198281075188889,1.020450539341502,1.0514934666207552,25.7985058179632,0.01178968212243201,6.27422337482816,0.05261320011650985,0.0
cstr,mlp_state_space,calibration_selected_candidate_ranker,0.05,26,2.161122913722562,1.3709972610834176,7.1483248035574825,10.636929298515607,0.0023608743945408308,3.038064735757817,0.09500823940468436,0.0
cstr,mlp_state_space,calibration_selected_candidate_ranker,0.1,50,2.252206092967425,1.3911901449452606,7.219607264312744,10.622512598803155,0.002364151791854094,3.13545973897573,0.09966629441695128,0.0
cstr,mlp_state_space,isotonic_calibrated_judge,0.1,2,0.2467863201965131,0.2467863201965131,0.2724510035456859,10.164330602493967,0.0022522611958912,1.974047741268126,0.01153368992803855,0.0
two_tank,hold_last,calibration_selected_candidate_ranker,0.05,10,0.41191362611925425,0.39966030023098736,0.5421174393516817,9.874392951265486,8.881784197001253e-17,0.36535698752744994,0.02325326566847219,0.0
two_tank,hold_last,calibration_selected_candidate_ranker,0.1,23,0.3818205066195761,0.3933239299314231,0.5710355632435242,9.540055023148554,6.75787928032704e-17,0.3472740264951256,0.021044870132969767,0.0
two_tank,linear_narx,calibration_selected_candidate_ranker,0.05,10,0.38946362321191463,0.3809956981154581,0.4400734673863199,14.689934435710992,0.00688821482100164,0.45372493236786926,1.1742248503330392e-06,0.0
two_tank,linear_narx,calibration_selected_candidate_ranker,0.1,20,0.3875917156967368,0.38062333368090917,0.4471881783871499,14.701901707711832,0.00688821482100162,0.48550605886105486,1.1817677910366346e-06,0.0
two_tank,mlp_state_space,calibration_selected_candidate_ranker,0.05,15,0.25732235051678454,0.2685162128988816,0.3456744879336257,11.531892971881383,0.0015821237126141135,0.39465753945803594,0.00875357539919972,0.0
two_tank,mlp_state_space,calibration_selected_candidate_ranker,0.1,30,0.2581493204309432,0.26314922442902655,0.3710650168594436,11.547033228306855,0.0015827880787995367,0.4123189655926352,0.008835872456612208,0.0
