comparator_mode,system_id,seed,badness_target,mean_absolute_margin,mean_relative_margin,deployable,diagnostic
best_calibrated_family_vs_per_system_target_baseline,heat_exchanger,8,bad_event,0.0,0.0,True,False
best_calibrated_family_vs_per_system_target_baseline,heat_exchanger,8,bad_rmse,0.0,0.0,True,False
best_calibrated_family_vs_per_system_target_baseline,heat_exchanger,8,bad_rmse_or_event,0.0,0.0,True,False
best_calibrated_family_vs_per_system_target_baseline,heat_exchanger,9,bad_event,0.05357142857142856,0.3,True,False
best_calibrated_family_vs_per_system_target_baseline,heat_exchanger,9,bad_rmse,0.0,0.0,True,False
best_calibrated_family_vs_per_system_target_baseline,heat_exchanger,9,bad_rmse_or_event,0.0,0.0,True,False
best_calibrated_family_vs_per_system_target_baseline,two_tank,0,bad_event,0.0,0.0,True,False
best_calibrated_family_vs_per_system_target_baseline,two_tank,0,bad_rmse,0.0,0.0,True,False
best_calibrated_family_vs_per_system_target_baseline,two_tank,0,bad_rmse_or_event,-0.02222222222222222,0.0,True,False
best_calibrated_family_vs_per_system_target_baseline,two_tank,1,bad_event,0.0,0.0,True,False
best_calibrated_family_vs_per_system_target_baseline,two_tank,1,bad_rmse,-0.01111111111111111,-0.016666666666666666,True,False
best_calibrated_family_vs_per_system_target_baseline,two_tank,1,bad_rmse_or_event,-0.01111111111111111,-0.016666666666666666,True,False
best_calibrated_family_vs_per_system_target_baseline,two_tank,2,bad_event,0.0,0.0,True,False
best_calibrated_family_vs_per_system_target_baseline,two_tank,2,bad_rmse,0.0,0.0,True,False
best_calibrated_family_vs_per_system_target_baseline,two_tank,2,bad_rmse_or_event,-0.03666666666666666,0.016666666666666666,True,False
best_calibrated_family_vs_per_system_target_baseline,two_tank,3,bad_event,0.0,0.0,True,False
best_calibrated_family_vs_per_system_target_baseline,two_tank,3,bad_rmse,0.04444444444444444,0.08333333333333333,True,False
best_calibrated_family_vs_per_system_target_baseline,two_tank,3,bad_rmse_or_event,0.05,0.09444444444444446,True,False
best_calibrated_family_vs_per_system_target_baseline,two_tank,4,bad_event,0.0,0.0,True,False
best_calibrated_family_vs_per_system_target_baseline,two_tank,4,bad_rmse,-0.042222222222222223,0.0,True,False
best_calibrated_family_vs_per_system_target_baseline,two_tank,4,bad_rmse_or_event,-0.042222222222222223,0.0,True,False
best_calibrated_family_vs_per_system_target_baseline,two_tank,5,bad_event,0.0,0.0,True,False
best_calibrated_family_vs_per_system_target_baseline,two_tank,5,bad_rmse,0.016666666666666666,0.06666666666666667,True,False
best_calibrated_family_vs_per_system_target_baseline,two_tank,5,bad_rmse_or_event,0.02777777777777778,0.09166666666666666,True,False
best_calibrated_family_vs_per_system_target_baseline,two_tank,6,bad_event,0.0,0.0,True,False
best_calibrated_family_vs_per_system_target_baseline,two_tank,6,bad_rmse,0.0,0.0,True,False
best_calibrated_family_vs_per_system_target_baseline,two_tank,6,bad_rmse_or_event,0.0,0.008333333333333333,True,False
best_calibrated_family_vs_per_system_target_baseline,two_tank,7,bad_event,0.0,0.0,True,False
best_calibrated_family_vs_per_system_target_baseline,two_tank,7,bad_rmse,0.061111111111111116,0.0638888888888889,True,False
best_calibrated_family_vs_per_system_target_baseline,two_tank,7,bad_rmse_or_event,0.05444444444444444,0.0611111111111111,True,False
best_calibrated_family_vs_per_system_target_baseline,two_tank,8,bad_event,0.0,0.0,True,False
best_calibrated_family_vs_per_system_target_baseline,two_tank,8,bad_rmse,0.01111111111111111,0.016666666666666666,True,False
best_calibrated_family_vs_per_system_target_baseline,two_tank,8,bad_rmse_or_event,-0.04333333333333333,0.01388888888888888,True,False
best_calibrated_family_vs_per_system_target_baseline,two_tank,9,bad_event,0.0,0.0,True,False
best_calibrated_family_vs_per_system_target_baseline,two_tank,9,bad_rmse,-0.027777777777777776,0.004166666666666667,True,False
best_calibrated_family_vs_per_system_target_baseline,two_tank,9,bad_rmse_or_event,-0.02222222222222222,0.0125,True,False
global_calibration_selected_baseline,cstr,0,bad_event,-0.03928571428571428,0.0,True,False
global_calibration_selected_baseline,cstr,0,bad_rmse,0.007142857142857142,0.02222222222222222,True,False
global_calibration_selected_baseline,cstr,0,bad_rmse_or_event,0.04880952380952381,0.1388888888888889,True,False
global_calibration_selected_baseline,cstr,1,bad_event,-0.05714285714285712,0.0,True,False
