system_id,badness_target,judge_id,mean_far,rank
heat_exchanger,bad_rmse,repair_only,0.2592857142857143,12.0
heat_exchanger,bad_rmse,conservative_low_coverage_judge,0.26166666666666666,13.0
heat_exchanger,bad_rmse,uncertainty_only,0.4483333333333333,14.0
heat_exchanger,bad_rmse,disagreement_only,0.4498809523809524,15.0
heat_exchanger,bad_rmse,ensemble_disagreement_threshold,0.4498809523809524,16.0
heat_exchanger,bad_rmse,random_baseline,0.7214880952380953,17.0
heat_exchanger,bad_rmse_or_event,oracle_error_rank,0.2232142857142857,1.0
heat_exchanger,bad_rmse_or_event,best_single_signal_selected_on_calibration,0.23607142857142857,2.0
heat_exchanger,bad_rmse_or_event,conformal_risk_threshold,0.23607142857142857,3.0
heat_exchanger,bad_rmse_or_event,invariant_only,0.23607142857142857,4.0
heat_exchanger,bad_rmse_or_event,quantile_rule_judge,0.23607142857142857,5.0
heat_exchanger,bad_rmse_or_event,calibration_selected_candidate_ranker,0.23672619047619045,6.0
heat_exchanger,bad_rmse_or_event,isotonic_calibrated_judge,0.2375,7.0
heat_exchanger,bad_rmse_or_event,rank_normalized_linear,0.256547619047619,8.0
heat_exchanger,bad_rmse_or_event,support_only,0.25660714285714287,9.0
heat_exchanger,bad_rmse_or_event,conservative_low_coverage_judge,0.2630952380952381,10.0
heat_exchanger,bad_rmse_or_event,repair_only,0.2707142857142857,11.0
heat_exchanger,bad_rmse_or_event,learned_error_classifier,0.27625,12.0
heat_exchanger,bad_rmse_or_event,logistic_calibrated_judge,0.27625,13.0
heat_exchanger,bad_rmse_or_event,disagreement_only,0.4498809523809524,14.0
heat_exchanger,bad_rmse_or_event,ensemble_disagreement_threshold,0.4498809523809524,15.0
heat_exchanger,bad_rmse_or_event,uncertainty_only,0.46053571428571427,16.0
heat_exchanger,bad_rmse_or_event,random_baseline,0.7253571428571429,17.0
two_tank,bad_event,best_single_signal_selected_on_calibration,0.0,1.0
two_tank,bad_event,calibration_selected_candidate_ranker,0.0,2.0
two_tank,bad_event,conformal_risk_threshold,0.0,3.0
two_tank,bad_event,conservative_low_coverage_judge,0.0,4.0
two_tank,bad_event,disagreement_only,0.0,5.0
two_tank,bad_event,ensemble_disagreement_threshold,0.0,6.0
two_tank,bad_event,invariant_only,0.0,7.0
two_tank,bad_event,isotonic_calibrated_judge,0.0,8.0
two_tank,bad_event,learned_error_classifier,0.0,9.0
two_tank,bad_event,logistic_calibrated_judge,0.0,10.0
two_tank,bad_event,oracle_error_rank,0.0,11.0
two_tank,bad_event,quantile_rule_judge,0.0,12.0
two_tank,bad_event,random_baseline,0.0,13.0
two_tank,bad_event,rank_normalized_linear,0.0,14.0
two_tank,bad_event,repair_only,0.0,15.0
two_tank,bad_event,support_only,0.0,16.0
two_tank,bad_event,uncertainty_only,0.0,17.0
two_tank,bad_rmse,oracle_error_rank,0.04033333333333333,1.0
two_tank,bad_rmse,learned_error_classifier,0.096,2.0
two_tank,bad_rmse,logistic_calibrated_judge,0.096,3.0
two_tank,bad_rmse,conservative_low_coverage_judge,0.10477777777777778,4.0
two_tank,bad_rmse,calibration_selected_candidate_ranker,0.10555555555555556,5.0
two_tank,bad_rmse,conformal_risk_threshold,0.1061111111111111,6.0
two_tank,bad_rmse,rank_normalized_linear,0.10677777777777778,7.0
two_tank,bad_rmse,disagreement_only,0.10822222222222223,8.0
two_tank,bad_rmse,ensemble_disagreement_threshold,0.10822222222222223,9.0
two_tank,bad_rmse,best_single_signal_selected_on_calibration,0.11333333333333333,10.0
two_tank,bad_rmse,quantile_rule_judge,0.11333333333333333,11.0
two_tank,bad_rmse,isotonic_calibrated_judge,0.11666666666666667,12.0
two_tank,bad_rmse,support_only,0.148,13.0
two_tank,bad_rmse,repair_only,0.157,14.0
two_tank,bad_rmse,invariant_only,0.20544444444444443,15.0
two_tank,bad_rmse,uncertainty_only,0.32366666666666666,16.0
two_tank,bad_rmse,random_baseline,0.44333333333333336,17.0
two_tank,bad_rmse_or_event,oracle_error_rank,0.04033333333333333,1.0
two_tank,bad_rmse_or_event,learned_error_classifier,0.096,2.0
two_tank,bad_rmse_or_event,logistic_calibrated_judge,0.096,3.0
two_tank,bad_rmse_or_event,conformal_risk_threshold,0.1,4.0
two_tank,bad_rmse_or_event,conservative_low_coverage_judge,0.10477777777777778,5.0
two_tank,bad_rmse_or_event,calibration_selected_candidate_ranker,0.10555555555555556,6.0
two_tank,bad_rmse_or_event,rank_normalized_linear,0.10677777777777778,7.0
two_tank,bad_rmse_or_event,disagreement_only,0.10822222222222223,8.0
two_tank,bad_rmse_or_event,ensemble_disagreement_threshold,0.10822222222222223,9.0
two_tank,bad_rmse_or_event,best_single_signal_selected_on_calibration,0.11333333333333333,10.0
two_tank,bad_rmse_or_event,quantile_rule_judge,0.11333333333333333,11.0
two_tank,bad_rmse_or_event,isotonic_calibrated_judge,0.11666666666666667,12.0
two_tank,bad_rmse_or_event,support_only,0.148,13.0
two_tank,bad_rmse_or_event,repair_only,0.157,14.0
two_tank,bad_rmse_or_event,invariant_only,0.20544444444444443,15.0
two_tank,bad_rmse_or_event,uncertainty_only,0.32366666666666666,16.0
two_tank,bad_rmse_or_event,random_baseline,0.44333333333333336,17.0
