selection_mode,seed,system_id,badness_target,coverage,selected_judge_id,selection_metric,selection_far,selection_accepted_error,coverage_achieved,tie_breaker_used,source_split,uses_test_labels
per_system_target_calibration_selected_baseline,2,cstr,bad_rmse_or_event,0.05,conformal_risk_threshold,false_accept_rate,0.0,0.0,0.05,True,calibration,False
per_system_target_calibration_selected_baseline,2,cstr,bad_rmse_or_event,0.1,conformal_risk_threshold,false_accept_rate,0.005952380952380952,0.005952380952380952,0.1,True,calibration,False
per_system_target_calibration_selected_baseline,2,heat_exchanger,bad_event,0.05,conformal_risk_threshold,false_accept_rate,0.0,0.0,0.05,True,calibration,False
per_system_target_calibration_selected_baseline,2,heat_exchanger,bad_event,0.1,conformal_risk_threshold,false_accept_rate,0.0,0.0,0.1,True,calibration,False
per_system_target_calibration_selected_baseline,2,heat_exchanger,bad_rmse,0.05,conformal_risk_threshold,false_accept_rate,0.0,0.009753510597288675,0.05,True,calibration,False
per_system_target_calibration_selected_baseline,2,heat_exchanger,bad_rmse,0.1,conformal_risk_threshold,false_accept_rate,0.0,0.014427026979063184,0.1,True,calibration,False
per_system_target_calibration_selected_baseline,2,heat_exchanger,bad_rmse_or_event,0.05,conformal_risk_threshold,false_accept_rate,0.0,0.0,0.05,True,calibration,False
per_system_target_calibration_selected_baseline,2,heat_exchanger,bad_rmse_or_event,0.1,conformal_risk_threshold,false_accept_rate,0.0,0.0,0.1,True,calibration,False
per_system_target_calibration_selected_baseline,2,two_tank,bad_event,0.05,conformal_risk_threshold,false_accept_rate,0.0,0.0,0.05,True,calibration,False
per_system_target_calibration_selected_baseline,2,two_tank,bad_event,0.1,conformal_risk_threshold,false_accept_rate,0.0,0.0,0.1,True,calibration,False
per_system_target_calibration_selected_baseline,2,two_tank,bad_rmse,0.05,learned_error_classifier,false_accept_rate,0.0,0.11550431099382567,0.05,False,calibration,False
per_system_target_calibration_selected_baseline,2,two_tank,bad_rmse,0.1,learned_error_classifier,false_accept_rate,0.0,0.08873563754134182,0.1,False,calibration,False
per_system_target_calibration_selected_baseline,2,two_tank,bad_rmse_or_event,0.05,learned_error_classifier,false_accept_rate,0.0,0.0,0.05,False,calibration,False
