selection_mode,seed,system_id,badness_target,coverage,selected_judge_id,selection_metric,selection_far,selection_accepted_error,coverage_achieved,tie_breaker_used,source_split,uses_test_labels
best_calibrated_family_selected_on_calibration,2,cstr,bad_rmse,0.05,best_single_signal_selected_on_calibration,false_accept_rate,0.0,0.01575058841229788,0.05,True,calibration,False
best_calibrated_family_selected_on_calibration,2,cstr,bad_rmse,0.1,best_single_signal_selected_on_calibration,false_accept_rate,0.005952380952380952,0.022064541065685013,0.1,True,calibration,False
best_calibrated_family_selected_on_calibration,2,cstr,bad_rmse_or_event,0.05,best_single_signal_selected_on_calibration,false_accept_rate,0.0,0.0,0.05,True,calibration,False
best_calibrated_family_selected_on_calibration,2,cstr,bad_rmse_or_event,0.1,best_single_signal_selected_on_calibration,false_accept_rate,0.005952380952380952,0.005952380952380952,0.1,True,calibration,False
best_calibrated_family_selected_on_calibration,2,heat_exchanger,bad_event,0.05,best_single_signal_selected_on_calibration,false_accept_rate,0.0,0.0,0.05,True,calibration,False
best_calibrated_family_selected_on_calibration,2,heat_exchanger,bad_event,0.1,best_single_signal_selected_on_calibration,false_accept_rate,0.0,0.0,0.1,True,calibration,False
best_calibrated_family_selected_on_calibration,2,heat_exchanger,bad_rmse,0.05,best_single_signal_selected_on_calibration,false_accept_rate,0.0,0.009753510597288675,0.05,True,calibration,False
best_calibrated_family_selected_on_calibration,2,heat_exchanger,bad_rmse,0.1,best_single_signal_selected_on_calibration,false_accept_rate,0.0,0.014427026979063184,0.1,True,calibration,False
best_calibrated_family_selected_on_calibration,2,heat_exchanger,bad_rmse_or_event,0.05,best_single_signal_selected_on_calibration,false_accept_rate,0.0,0.0,0.05,True,calibration,False
best_calibrated_family_selected_on_calibration,2,heat_exchanger,bad_rmse_or_event,0.1,best_single_signal_selected_on_calibration,false_accept_rate,0.0,0.0,0.1,True,calibration,False
best_calibrated_family_selected_on_calibration,2,two_tank,bad_event,0.05,best_single_signal_selected_on_calibration,false_accept_rate,0.0,0.0,0.05,True,calibration,False
best_calibrated_family_selected_on_calibration,2,two_tank,bad_event,0.1,best_single_signal_selected_on_calibration,false_accept_rate,0.0,0.0,0.1,True,calibration,False
best_calibrated_family_selected_on_calibration,2,two_tank,bad_rmse,0.05,logistic_calibrated_judge,false_accept_rate,0.0,0.11550431099382567,0.05,False,calibration,False
best_calibrated_family_selected_on_calibration,2,two_tank,bad_rmse,0.1,logistic_calibrated_judge,false_accept_rate,0.0,0.08873563754134182,0.1,False,calibration,False
best_calibrated_family_selected_on_calibration,2,two_tank,bad_rmse_or_event,0.05,best_single_signal_selected_on_calibration,false_accept_rate,0.0,0.0,0.05,True,calibration,False
best_calibrated_family_selected_on_calibration,2,two_tank,bad_rmse_or_event,0.1,best_single_signal_selected_on_calibration,false_accept_rate,0.0,0.0,0.1,True,calibration,False
best_calibrated_family_selected_on_calibration,3,cstr,bad_event,0.05,best_single_signal_selected_on_calibration,false_accept_rate,0.0,0.0,0.05,True,calibration,False
best_calibrated_family_selected_on_calibration,3,cstr,bad_event,0.1,best_single_signal_selected_on_calibration,false_accept_rate,0.0,0.0,0.1,True,calibration,False
best_calibrated_family_selected_on_calibration,3,cstr,bad_rmse,0.05,best_single_signal_selected_on_calibration,false_accept_rate,0.0,0.01878175239747751,0.05,True,calibration,False
best_calibrated_family_selected_on_calibration,3,cstr,bad_rmse,0.1,best_single_signal_selected_on_calibration,false_accept_rate,0.0,0.023424502508960582,0.1,True,calibration,False
best_calibrated_family_selected_on_calibration,3,cstr,bad_rmse_or_event,0.05,best_single_signal_selected_on_calibration,false_accept_rate,0.0,0.0,0.05,True,calibration,False
best_calibrated_family_selected_on_calibration,3,cstr,bad_rmse_or_event,0.1,best_single_signal_selected_on_calibration,false_accept_rate,0.0,0.0,0.1,True,calibration,False
best_calibrated_family_selected_on_calibration,3,heat_exchanger,bad_event,0.05,best_single_signal_selected_on_calibration,false_accept_rate,0.0,0.0,0.05,True,calibration,False
