system_id,seed,model_id,split,true_event_rate,pred_event_rate,event_mismatch_rate,n_scenarios
cstr,1,mlp_state_space,judge_test_feed_concentration_spike,0.0,0.0,0.0,10
cstr,1,mlp_state_space,judge_test_feed_temperature_spike,0.0,0.2,0.2,10
cstr,1,mlp_state_space,judge_test_id,0.0,0.0,0.0,10
cstr,1,mlp_state_space,judge_test_reaction_rate_shift,0.0,0.1,0.1,10
cstr,1,mlp_state_space,judge_test_unsafe_temperature_event,0.1,0.0,0.1,10
cstr,2,ensemble_mlp,judge_test_combined_feed_and_cooling_shift,0.1,0.3,0.4,10
cstr,2,ensemble_mlp,judge_test_cooling_step_change,0.0,0.4,0.4,10
cstr,2,ensemble_mlp,judge_test_feed_concentration_spike,0.0,0.0,0.0,10
cstr,2,ensemble_mlp,judge_test_feed_temperature_spike,0.0,0.2,0.2,10
cstr,2,ensemble_mlp,judge_test_id,0.0,0.0,0.0,10
cstr,2,ensemble_mlp,judge_test_reaction_rate_shift,0.0,0.4,0.4,10
cstr,2,ensemble_mlp,judge_test_unsafe_temperature_event,0.1,0.1,0.2,10
cstr,2,gradient_boosted_narx,judge_test_combined_feed_and_cooling_shift,0.1,0.3,0.4,10
cstr,2,gradient_boosted_narx,judge_test_cooling_step_change,0.0,0.1,0.1,10
cstr,2,gradient_boosted_narx,judge_test_feed_concentration_spike,0.0,0.1,0.1,10
cstr,2,gradient_boosted_narx,judge_test_feed_temperature_spike,0.0,0.2,0.2,10
cstr,2,gradient_boosted_narx,judge_test_id,0.0,0.0,0.0,10
cstr,2,gradient_boosted_narx,judge_test_reaction_rate_shift,0.0,0.1,0.1,10
cstr,2,gradient_boosted_narx,judge_test_unsafe_temperature_event,0.1,0.0,0.1,10
cstr,2,hold_last,judge_test_combined_feed_and_cooling_shift,0.1,0.0,0.1,10
cstr,2,hold_last,judge_test_cooling_step_change,0.0,0.0,0.0,10
cstr,2,hold_last,judge_test_feed_concentration_spike,0.0,0.0,0.0,10
cstr,2,hold_last,judge_test_feed_temperature_spike,0.0,0.0,0.0,10
cstr,2,hold_last,judge_test_id,0.0,0.0,0.0,10
cstr,2,hold_last,judge_test_reaction_rate_shift,0.0,0.0,0.0,10
cstr,2,hold_last,judge_test_unsafe_temperature_event,0.1,0.0,0.1,10
cstr,2,linear_narx,judge_test_combined_feed_and_cooling_shift,0.1,0.1,0.0,10
cstr,2,linear_narx,judge_test_cooling_step_change,0.0,0.0,0.0,10
cstr,2,linear_narx,judge_test_feed_concentration_spike,0.0,0.0,0.0,10
cstr,2,linear_narx,judge_test_feed_temperature_spike,0.0,0.0,0.0,10
cstr,2,linear_narx,judge_test_id,0.0,0.0,0.0,10
cstr,2,linear_narx,judge_test_reaction_rate_shift,0.0,0.0,0.0,10
cstr,2,linear_narx,judge_test_unsafe_temperature_event,0.1,0.1,0.0,10
cstr,2,mlp_state_space,judge_test_combined_feed_and_cooling_shift,0.1,0.2,0.3,10
cstr,2,mlp_state_space,judge_test_cooling_step_change,0.0,0.0,0.0,10
cstr,2,mlp_state_space,judge_test_feed_concentration_spike,0.0,0.0,0.0,10
cstr,2,mlp_state_space,judge_test_feed_temperature_spike,0.0,0.2,0.2,10
cstr,2,mlp_state_space,judge_test_id,0.0,0.0,0.0,10
cstr,2,mlp_state_space,judge_test_reaction_rate_shift,0.0,0.4,0.4,10
cstr,2,mlp_state_space,judge_test_unsafe_temperature_event,0.1,0.1,0.2,10
cstr,3,ensemble_mlp,judge_test_combined_feed_and_cooling_shift,0.0,0.0,0.0,10
cstr,3,ensemble_mlp,judge_test_cooling_step_change,0.0,0.4,0.4,10
cstr,3,ensemble_mlp,judge_test_feed_concentration_spike,0.0,0.0,0.0,10
cstr,3,ensemble_mlp,judge_test_feed_temperature_spike,0.0,0.1,0.1,10
cstr,3,ensemble_mlp,judge_test_id,0.0,0.0,0.0,10
cstr,3,ensemble_mlp,judge_test_reaction_rate_shift,0.0,0.3,0.3,10
cstr,3,ensemble_mlp,judge_test_unsafe_temperature_event,0.3,0.3,0.6,10
cstr,3,gradient_boosted_narx,judge_test_combined_feed_and_cooling_shift,0.0,0.0,0.0,10
cstr,3,gradient_boosted_narx,judge_test_cooling_step_change,0.0,0.2,0.2,10
cstr,3,gradient_boosted_narx,judge_test_feed_concentration_spike,0.0,0.0,0.0,10
cstr,3,gradient_boosted_narx,judge_test_feed_temperature_spike,0.0,0.1,0.1,10
cstr,3,gradient_boosted_narx,judge_test_id,0.0,0.0,0.0,10
cstr,3,gradient_boosted_narx,judge_test_reaction_rate_shift,0.0,0.1,0.1,10
cstr,3,gradient_boosted_narx,judge_test_unsafe_temperature_event,0.3,0.0,0.3,10
cstr,3,hold_last,judge_test_combined_feed_and_cooling_shift,0.0,0.0,0.0,10
cstr,3,hold_last,judge_test_cooling_step_change,0.0,0.0,0.0,10
cstr,3,hold_last,judge_test_feed_concentration_spike,0.0,0.0,0.0,10
cstr,3,hold_last,judge_test_feed_temperature_spike,0.0,0.0,0.0,10
cstr,3,hold_last,judge_test_id,0.0,0.0,0.0,10
cstr,3,hold_last,judge_test_reaction_rate_shift,0.0,0.0,0.0,10
cstr,3,hold_last,judge_test_unsafe_temperature_event,0.3,0.0,0.3,10
cstr,3,linear_narx,judge_test_combined_feed_and_cooling_shift,0.0,0.0,0.0,10
cstr,3,linear_narx,judge_test_cooling_step_change,0.0,0.0,0.0,10
cstr,3,linear_narx,judge_test_feed_concentration_spike,0.0,0.0,0.0,10
cstr,3,linear_narx,judge_test_feed_temperature_spike,0.0,0.0,0.0,10
cstr,3,linear_narx,judge_test_id,0.0,0.0,0.0,10
cstr,3,linear_narx,judge_test_reaction_rate_shift,0.0,0.0,0.0,10
cstr,3,linear_narx,judge_test_unsafe_temperature_event,0.3,0.2,0.1,10
cstr,3,mlp_state_space,judge_test_combined_feed_and_cooling_shift,0.0,0.0,0.0,10
cstr,3,mlp_state_space,judge_test_cooling_step_change,0.0,0.2,0.2,10
cstr,3,mlp_state_space,judge_test_feed_concentration_spike,0.0,0.0,0.0,10
cstr,3,mlp_state_space,judge_test_feed_temperature_spike,0.0,0.1,0.1,10
cstr,3,mlp_state_space,judge_test_id,0.0,0.0,0.0,10
cstr,3,mlp_state_space,judge_test_reaction_rate_shift,0.0,0.3,0.3,10
cstr,3,mlp_state_space,judge_test_unsafe_temperature_event,0.3,0.5,0.8,10
cstr,4,ensemble_mlp,judge_test_combined_feed_and_cooling_shift,0.0,0.0,0.0,10
cstr,4,ensemble_mlp,judge_test_cooling_step_change,0.0,0.4,0.4,10
cstr,4,ensemble_mlp,judge_test_feed_concentration_spike,0.0,0.0,0.0,10
cstr,4,ensemble_mlp,judge_test_feed_temperature_spike,0.0,0.1,0.1,10
cstr,4,ensemble_mlp,judge_test_id,0.0,0.0,0.0,10
cstr,4,ensemble_mlp,judge_test_reaction_rate_shift,0.0,0.3,0.3,10
cstr,4,ensemble_mlp,judge_test_unsafe_temperature_event,0.3,0.7,0.8,10
cstr,4,gradient_boosted_narx,judge_test_combined_feed_and_cooling_shift,0.0,0.0,0.0,10
cstr,4,gradient_boosted_narx,judge_test_cooling_step_change,0.0,0.0,0.0,10
cstr,4,gradient_boosted_narx,judge_test_feed_concentration_spike,0.0,0.1,0.1,10
cstr,4,gradient_boosted_narx,judge_test_feed_temperature_spike,0.0,0.2,0.2,10
cstr,4,gradient_boosted_narx,judge_test_id,0.0,0.0,0.0,10
cstr,4,gradient_boosted_narx,judge_test_reaction_rate_shift,0.0,0.2,0.2,10
cstr,4,gradient_boosted_narx,judge_test_unsafe_temperature_event,0.3,0.1,0.4,10
cstr,4,hold_last,judge_test_combined_feed_and_cooling_shift,0.0,0.0,0.0,10
cstr,4,hold_last,judge_test_cooling_step_change,0.0,0.0,0.0,10
cstr,4,hold_last,judge_test_feed_concentration_spike,0.0,0.0,0.0,10
cstr,4,hold_last,judge_test_feed_temperature_spike,0.0,0.0,0.0,10
cstr,4,hold_last,judge_test_id,0.0,0.0,0.0,10
cstr,4,hold_last,judge_test_reaction_rate_shift,0.0,0.0,0.0,10
cstr,4,hold_last,judge_test_unsafe_temperature_event,0.3,0.0,0.3,10
cstr,4,linear_narx,judge_test_combined_feed_and_cooling_shift,0.0,0.0,0.0,10
cstr,4,linear_narx,judge_test_cooling_step_change,0.0,0.0,0.0,10
cstr,4,linear_narx,judge_test_feed_concentration_spike,0.0,0.0,0.0,10
cstr,4,linear_narx,judge_test_feed_temperature_spike,0.0,0.0,0.0,10
cstr,4,linear_narx,judge_test_id,0.0,0.0,0.0,10
cstr,4,linear_narx,judge_test_reaction_rate_shift,0.0,0.0,0.0,10
cstr,4,linear_narx,judge_test_unsafe_temperature_event,0.3,0.3,0.0,10
cstr,4,mlp_state_space,judge_test_combined_feed_and_cooling_shift,0.0,0.0,0.0,10
cstr,4,mlp_state_space,judge_test_cooling_step_change,0.0,0.4,0.4,10
cstr,4,mlp_state_space,judge_test_feed_concentration_spike,0.0,0.1,0.1,10
cstr,4,mlp_state_space,judge_test_feed_temperature_spike,0.0,0.1,0.1,10
cstr,4,mlp_state_space,judge_test_id,0.0,0.0,0.0,10
cstr,4,mlp_state_space,judge_test_reaction_rate_shift,0.0,0.5,0.5,10
cstr,4,mlp_state_space,judge_test_unsafe_temperature_event,0.3,0.5,0.6,10
cstr,5,ensemble_mlp,judge_test_combined_feed_and_cooling_shift,0.0,0.0,0.0,10
cstr,5,ensemble_mlp,judge_test_cooling_step_change,0.0,0.5,0.5,10
cstr,5,ensemble_mlp,judge_test_feed_concentration_spike,0.0,0.0,0.0,10
cstr,5,ensemble_mlp,judge_test_feed_temperature_spike,0.0,0.0,0.0,10
cstr,5,ensemble_mlp,judge_test_id,0.0,0.0,0.0,10
cstr,5,ensemble_mlp,judge_test_reaction_rate_shift,0.0,0.0,0.0,10
cstr,5,ensemble_mlp,judge_test_unsafe_temperature_event,0.2,0.1,0.1,10
cstr,5,gradient_boosted_narx,judge_test_combined_feed_and_cooling_shift,0.0,0.0,0.0,10
cstr,5,gradient_boosted_narx,judge_test_cooling_step_change,0.0,0.0,0.0,10
cstr,5,gradient_boosted_narx,judge_test_feed_concentration_spike,0.0,0.0,0.0,10
cstr,5,gradient_boosted_narx,judge_test_feed_temperature_spike,0.0,0.0,0.0,10
cstr,5,gradient_boosted_narx,judge_test_id,0.0,0.0,0.0,10
cstr,5,gradient_boosted_narx,judge_test_reaction_rate_shift,0.0,0.0,0.0,10
cstr,5,gradient_boosted_narx,judge_test_unsafe_temperature_event,0.2,0.0,0.2,10
cstr,5,hold_last,judge_test_combined_feed_and_cooling_shift,0.0,0.0,0.0,10
cstr,5,hold_last,judge_test_cooling_step_change,0.0,0.0,0.0,10
cstr,5,hold_last,judge_test_feed_concentration_spike,0.0,0.0,0.0,10
cstr,5,hold_last,judge_test_feed_temperature_spike,0.0,0.0,0.0,10
cstr,5,hold_last,judge_test_id,0.0,0.0,0.0,10
cstr,5,hold_last,judge_test_reaction_rate_shift,0.0,0.0,0.0,10
cstr,5,hold_last,judge_test_unsafe_temperature_event,0.2,0.0,0.2,10
cstr,5,linear_narx,judge_test_combined_feed_and_cooling_shift,0.0,0.0,0.0,10
cstr,5,linear_narx,judge_test_cooling_step_change,0.0,0.0,0.0,10
cstr,5,linear_narx,judge_test_feed_concentration_spike,0.0,0.0,0.0,10
cstr,5,linear_narx,judge_test_feed_temperature_spike,0.0,0.0,0.0,10
cstr,5,linear_narx,judge_test_id,0.0,0.0,0.0,10
cstr,5,linear_narx,judge_test_reaction_rate_shift,0.0,0.0,0.0,10
cstr,5,linear_narx,judge_test_unsafe_temperature_event,0.2,0.2,0.0,10
cstr,5,mlp_state_space,judge_test_combined_feed_and_cooling_shift,0.0,0.3,0.3,10
cstr,5,mlp_state_space,judge_test_cooling_step_change,0.0,0.2,0.2,10
cstr,5,mlp_state_space,judge_test_feed_concentration_spike,0.0,0.0,0.0,10
cstr,5,mlp_state_space,judge_test_feed_temperature_spike,0.0,0.0,0.0,10
cstr,5,mlp_state_space,judge_test_id,0.0,0.0,0.0,10
cstr,5,mlp_state_space,judge_test_reaction_rate_shift,0.0,0.0,0.0,10
cstr,5,mlp_state_space,judge_test_unsafe_temperature_event,0.2,0.0,0.2,10
cstr,6,ensemble_mlp,judge_test_combined_feed_and_cooling_shift,0.1,0.0,0.1,10
cstr,6,ensemble_mlp,judge_test_cooling_step_change,0.0,0.0,0.0,10
cstr,6,ensemble_mlp,judge_test_feed_concentration_spike,0.0,0.0,0.0,10
cstr,6,ensemble_mlp,judge_test_feed_temperature_spike,0.0,0.0,0.0,10
cstr,6,ensemble_mlp,judge_test_id,0.0,0.0,0.0,10
cstr,6,ensemble_mlp,judge_test_reaction_rate_shift,0.0,0.0,0.0,10
cstr,6,ensemble_mlp,judge_test_unsafe_temperature_event,0.1,0.0,0.1,10
cstr,6,gradient_boosted_narx,judge_test_combined_feed_and_cooling_shift,0.1,0.0,0.1,10
cstr,6,gradient_boosted_narx,judge_test_cooling_step_change,0.0,0.0,0.0,10
cstr,6,gradient_boosted_narx,judge_test_feed_concentration_spike,0.0,0.1,0.1,10
cstr,6,gradient_boosted_narx,judge_test_feed_temperature_spike,0.0,0.0,0.0,10
cstr,6,gradient_boosted_narx,judge_test_id,0.0,0.1,0.1,10
cstr,6,gradient_boosted_narx,judge_test_reaction_rate_shift,0.0,0.0,0.0,10
cstr,6,gradient_boosted_narx,judge_test_unsafe_temperature_event,0.1,0.1,0.2,10
cstr,6,hold_last,judge_test_combined_feed_and_cooling_shift,0.1,0.0,0.1,10
cstr,6,hold_last,judge_test_cooling_step_change,0.0,0.0,0.0,10
cstr,6,hold_last,judge_test_feed_concentration_spike,0.0,0.0,0.0,10
cstr,6,hold_last,judge_test_feed_temperature_spike,0.0,0.0,0.0,10
cstr,6,hold_last,judge_test_id,0.0,0.0,0.0,10
cstr,6,hold_last,judge_test_reaction_rate_shift,0.0,0.0,0.0,10
cstr,6,hold_last,judge_test_unsafe_temperature_event,0.1,0.0,0.1,10
cstr,6,linear_narx,judge_test_combined_feed_and_cooling_shift,0.1,0.1,0.0,10
cstr,6,linear_narx,judge_test_cooling_step_change,0.0,0.0,0.0,10
cstr,6,linear_narx,judge_test_feed_concentration_spike,0.0,0.0,0.0,10
cstr,6,linear_narx,judge_test_feed_temperature_spike,0.0,0.0,0.0,10
cstr,6,linear_narx,judge_test_id,0.0,0.0,0.0,10
cstr,6,linear_narx,judge_test_reaction_rate_shift,0.0,0.0,0.0,10
cstr,6,linear_narx,judge_test_unsafe_temperature_event,0.1,0.0,0.1,10
cstr,6,mlp_state_space,judge_test_combined_feed_and_cooling_shift,0.1,0.0,0.1,10
cstr,6,mlp_state_space,judge_test_cooling_step_change,0.0,0.1,0.1,10
cstr,6,mlp_state_space,judge_test_feed_concentration_spike,0.0,0.0,0.0,10
cstr,6,mlp_state_space,judge_test_feed_temperature_spike,0.0,0.0,0.0,10
cstr,6,mlp_state_space,judge_test_id,0.0,0.0,0.0,10
cstr,6,mlp_state_space,judge_test_reaction_rate_shift,0.0,0.0,0.0,10
cstr,6,mlp_state_space,judge_test_unsafe_temperature_event,0.1,0.0,0.1,10
cstr,7,ensemble_mlp,judge_test_combined_feed_and_cooling_shift,0.0,0.3,0.3,10
cstr,7,ensemble_mlp,judge_test_cooling_step_change,0.0,0.2,0.2,10
cstr,7,ensemble_mlp,judge_test_feed_concentration_spike,0.0,0.0,0.0,10
cstr,7,ensemble_mlp,judge_test_feed_temperature_spike,0.0,0.0,0.0,10
cstr,7,ensemble_mlp,judge_test_id,0.1,0.1,0.0,10
cstr,7,ensemble_mlp,judge_test_reaction_rate_shift,0.0,0.3,0.3,10
cstr,7,ensemble_mlp,judge_test_unsafe_temperature_event,0.2,0.2,0.4,10
cstr,7,gradient_boosted_narx,judge_test_combined_feed_and_cooling_shift,0.0,0.0,0.0,10
cstr,7,gradient_boosted_narx,judge_test_cooling_step_change,0.0,0.0,0.0,10
cstr,7,gradient_boosted_narx,judge_test_feed_concentration_spike,0.0,0.1,0.1,10
cstr,7,gradient_boosted_narx,judge_test_feed_temperature_spike,0.0,0.1,0.1,10
cstr,7,gradient_boosted_narx,judge_test_id,0.1,0.1,0.0,10
cstr,7,gradient_boosted_narx,judge_test_reaction_rate_shift,0.0,0.0,0.0,10
cstr,7,gradient_boosted_narx,judge_test_unsafe_temperature_event,0.2,0.1,0.3,10
cstr,7,hold_last,judge_test_combined_feed_and_cooling_shift,0.0,0.0,0.0,10
cstr,7,hold_last,judge_test_cooling_step_change,0.0,0.0,0.0,10
cstr,7,hold_last,judge_test_feed_concentration_spike,0.0,0.0,0.0,10
cstr,7,hold_last,judge_test_feed_temperature_spike,0.0,0.0,0.0,10
cstr,7,hold_last,judge_test_id,0.1,0.0,0.1,10
cstr,7,hold_last,judge_test_reaction_rate_shift,0.0,0.0,0.0,10
cstr,7,hold_last,judge_test_unsafe_temperature_event,0.2,0.0,0.2,10
cstr,7,linear_narx,judge_test_combined_feed_and_cooling_shift,0.0,0.0,0.0,10
cstr,7,linear_narx,judge_test_cooling_step_change,0.0,0.0,0.0,10
cstr,7,linear_narx,judge_test_feed_concentration_spike,0.0,0.0,0.0,10
cstr,7,linear_narx,judge_test_feed_temperature_spike,0.0,0.0,0.0,10
cstr,7,linear_narx,judge_test_id,0.1,0.1,0.0,10
cstr,7,linear_narx,judge_test_reaction_rate_shift,0.0,0.0,0.0,10
cstr,7,linear_narx,judge_test_unsafe_temperature_event,0.2,0.2,0.0,10
cstr,7,mlp_state_space,judge_test_combined_feed_and_cooling_shift,0.0,0.4,0.4,10
cstr,7,mlp_state_space,judge_test_cooling_step_change,0.0,0.1,0.1,10
cstr,7,mlp_state_space,judge_test_feed_concentration_spike,0.0,0.0,0.0,10
cstr,7,mlp_state_space,judge_test_feed_temperature_spike,0.0,0.0,0.0,10
cstr,7,mlp_state_space,judge_test_id,0.1,0.1,0.0,10
cstr,7,mlp_state_space,judge_test_reaction_rate_shift,0.0,0.4,0.4,10
cstr,7,mlp_state_space,judge_test_unsafe_temperature_event,0.2,0.0,0.2,10
cstr,8,ensemble_mlp,judge_test_combined_feed_and_cooling_shift,0.0,0.0,0.0,10
cstr,8,ensemble_mlp,judge_test_cooling_step_change,0.0,0.3,0.3,10
cstr,8,ensemble_mlp,judge_test_feed_concentration_spike,0.0,0.0,0.0,10
cstr,8,ensemble_mlp,judge_test_feed_temperature_spike,0.0,0.0,0.0,10
cstr,8,ensemble_mlp,judge_test_id,0.0,0.1,0.1,10
cstr,8,ensemble_mlp,judge_test_reaction_rate_shift,0.0,0.0,0.0,10
cstr,8,ensemble_mlp,judge_test_unsafe_temperature_event,0.2,0.6,0.6,10
cstr,8,gradient_boosted_narx,judge_test_combined_feed_and_cooling_shift,0.0,0.0,0.0,10
cstr,8,gradient_boosted_narx,judge_test_cooling_step_change,0.0,0.1,0.1,10
cstr,8,gradient_boosted_narx,judge_test_feed_concentration_spike,0.0,0.1,0.1,10
cstr,8,gradient_boosted_narx,judge_test_feed_temperature_spike,0.0,0.0,0.0,10
cstr,8,gradient_boosted_narx,judge_test_id,0.0,0.1,0.1,10
cstr,8,gradient_boosted_narx,judge_test_reaction_rate_shift,0.0,0.0,0.0,10
cstr,8,gradient_boosted_narx,judge_test_unsafe_temperature_event,0.2,0.1,0.3,10
cstr,8,hold_last,judge_test_combined_feed_and_cooling_shift,0.0,0.0,0.0,10
cstr,8,hold_last,judge_test_cooling_step_change,0.0,0.0,0.0,10
cstr,8,hold_last,judge_test_feed_concentration_spike,0.0,0.0,0.0,10
cstr,8,hold_last,judge_test_feed_temperature_spike,0.0,0.0,0.0,10
cstr,8,hold_last,judge_test_id,0.0,0.0,0.0,10
cstr,8,hold_last,judge_test_reaction_rate_shift,0.0,0.0,0.0,10
cstr,8,hold_last,judge_test_unsafe_temperature_event,0.2,0.0,0.2,10
cstr,8,linear_narx,judge_test_combined_feed_and_cooling_shift,0.0,0.0,0.0,10
cstr,8,linear_narx,judge_test_cooling_step_change,0.0,0.0,0.0,10
cstr,8,linear_narx,judge_test_feed_concentration_spike,0.0,0.0,0.0,10
cstr,8,linear_narx,judge_test_feed_temperature_spike,0.0,0.0,0.0,10
cstr,8,linear_narx,judge_test_id,0.0,0.1,0.1,10
cstr,8,linear_narx,judge_test_reaction_rate_shift,0.0,0.0,0.0,10
cstr,8,linear_narx,judge_test_unsafe_temperature_event,0.2,0.2,0.0,10
cstr,8,mlp_state_space,judge_test_combined_feed_and_cooling_shift,0.0,0.0,0.0,10
cstr,8,mlp_state_space,judge_test_cooling_step_change,0.0,0.3,0.3,10
cstr,8,mlp_state_space,judge_test_feed_concentration_spike,0.0,0.0,0.0,10
cstr,8,mlp_state_space,judge_test_feed_temperature_spike,0.0,0.0,0.0,10
cstr,8,mlp_state_space,judge_test_id,0.0,0.1,0.1,10
cstr,8,mlp_state_space,judge_test_reaction_rate_shift,0.0,0.2,0.2,10
cstr,8,mlp_state_space,judge_test_unsafe_temperature_event,0.2,0.7,0.7,10
cstr,9,ensemble_mlp,judge_test_combined_feed_and_cooling_shift,0.1,0.4,0.5,10
cstr,9,ensemble_mlp,judge_test_cooling_step_change,0.0,0.0,0.0,10
cstr,9,ensemble_mlp,judge_test_feed_concentration_spike,0.0,0.0,0.0,10
cstr,9,ensemble_mlp,judge_test_feed_temperature_spike,0.0,0.3,0.3,10
cstr,9,ensemble_mlp,judge_test_id,0.0,0.1,0.1,10
cstr,9,ensemble_mlp,judge_test_reaction_rate_shift,0.0,0.2,0.2,10
cstr,9,ensemble_mlp,judge_test_unsafe_temperature_event,0.1,0.1,0.2,10
cstr,9,gradient_boosted_narx,judge_test_combined_feed_and_cooling_shift,0.1,0.0,0.1,10
cstr,9,gradient_boosted_narx,judge_test_cooling_step_change,0.0,0.0,0.0,10
cstr,9,gradient_boosted_narx,judge_test_feed_concentration_spike,0.0,0.0,0.0,10
cstr,9,gradient_boosted_narx,judge_test_feed_temperature_spike,0.0,0.1,0.1,10
cstr,9,gradient_boosted_narx,judge_test_id,0.0,0.1,0.1,10
