system_id,seed,model_id,badness_target,bad_threshold,coverage,primary_calibrated_far,oracle_far,oracle_gap
two_tank,0,mlp_state_space,bad_rmse,0.1,0.02,0.0,0.0,0.0
two_tank,0,mlp_state_space,bad_rmse,0.1,0.05,0.0,0.0,0.0
two_tank,0,mlp_state_space,bad_rmse,0.1,0.1,0.0,0.0,0.0
two_tank,0,mlp_state_space,bad_rmse,0.1,0.2,0.0,0.0,0.0
two_tank,0,mlp_state_space,bad_rmse,0.1,0.4,0.0,0.0,0.0
two_tank,0,mlp_state_space,bad_rmse,0.1,0.6,0.3333333333333333,0.3333333333333333,0.0
two_tank,0,mlp_state_space,bad_rmse,0.1,0.8,0.5,0.5,0.0
two_tank,0,mlp_state_space,bad_rmse,0.1,1.0,0.6,0.6,0.0
two_tank,0,ensemble_mlp,bad_rmse,0.1,0.01,0.0,0.0,0.0
two_tank,0,ensemble_mlp,bad_rmse,0.1,0.02,0.0,0.0,0.0
two_tank,0,ensemble_mlp,bad_rmse,0.1,0.05,0.0,0.0,0.0
two_tank,0,ensemble_mlp,bad_rmse,0.1,0.1,0.0,0.0,0.0
two_tank,0,ensemble_mlp,bad_rmse,0.1,0.2,0.0,0.0,0.0
two_tank,0,ensemble_mlp,bad_rmse,0.1,0.4,0.0,0.0,0.0
two_tank,0,ensemble_mlp,bad_rmse,0.1,0.6,0.3333333333333333,0.3333333333333333,0.0
two_tank,0,ensemble_mlp,bad_rmse,0.1,0.8,0.5,0.5,0.0
two_tank,0,ensemble_mlp,bad_rmse,0.1,1.0,0.6,0.6,0.0
two_tank,0,gradient_boosted_narx,bad_rmse,0.1,0.01,0.0,0.0,0.0
two_tank,0,gradient_boosted_narx,bad_rmse,0.1,0.02,0.0,0.0,0.0
two_tank,0,gradient_boosted_narx,bad_rmse,0.1,0.05,0.0,0.0,0.0
two_tank,0,gradient_boosted_narx,bad_rmse,0.1,0.1,0.0,0.0,0.0
two_tank,0,gradient_boosted_narx,bad_rmse,0.1,0.2,0.0,0.0,0.0
two_tank,0,gradient_boosted_narx,bad_rmse,0.1,0.4,0.25,0.25,0.0
two_tank,0,gradient_boosted_narx,bad_rmse,0.1,0.6,0.5,0.5,0.0
two_tank,0,gradient_boosted_narx,bad_rmse,0.1,0.8,0.625,0.625,0.0
two_tank,0,gradient_boosted_narx,bad_rmse,0.1,1.0,0.7,0.7,0.0
two_tank,0,hold_last,bad_rmse,0.15,0.01,0.0,0.0,0.0
two_tank,0,hold_last,bad_rmse,0.15,0.02,0.0,0.0,0.0
two_tank,0,hold_last,bad_rmse,0.15,0.05,0.3333333333333333,0.0,0.3333333333333333
two_tank,0,hold_last,bad_rmse,0.15,0.1,0.6,0.4,0.19999999999999996
two_tank,0,hold_last,bad_rmse,0.15,0.2,0.8,0.7,0.10000000000000009
two_tank,0,hold_last,bad_rmse,0.15,0.4,0.9,0.85,0.050000000000000044
two_tank,0,hold_last,bad_rmse,0.15,0.6,0.9,0.9,0.0
two_tank,0,hold_last,bad_rmse,0.15,0.8,0.925,0.925,0.0
two_tank,0,hold_last,bad_rmse,0.15,1.0,0.94,0.94,0.0
two_tank,0,linear_narx,bad_rmse,0.15,0.01,0.0,0.0,0.0
two_tank,0,linear_narx,bad_rmse,0.15,0.02,0.0,0.0,0.0
two_tank,0,linear_narx,bad_rmse,0.15,0.05,0.0,0.0,0.0
two_tank,0,linear_narx,bad_rmse,0.15,0.1,0.0,0.0,0.0
two_tank,0,linear_narx,bad_rmse,0.15,0.2,0.0,0.0,0.0
two_tank,0,linear_narx,bad_rmse,0.15,0.4,0.0,0.0,0.0
two_tank,0,linear_narx,bad_rmse,0.15,0.6,0.0,0.0,0.0
two_tank,0,linear_narx,bad_rmse,0.15,0.8,0.25,0.2,0.04999999999999999
two_tank,0,linear_narx,bad_rmse,0.15,1.0,0.36,0.36,0.0
two_tank,0,mlp_state_space,bad_rmse,0.15,0.01,0.0,0.0,0.0
two_tank,0,mlp_state_space,bad_rmse,0.15,0.02,0.0,0.0,0.0
two_tank,0,mlp_state_space,bad_rmse,0.15,0.05,0.0,0.0,0.0
two_tank,0,mlp_state_space,bad_rmse,0.15,0.1,0.0,0.0,0.0
two_tank,0,mlp_state_space,bad_rmse,0.15,0.2,0.0,0.0,0.0
two_tank,0,mlp_state_space,bad_rmse,0.15,0.4,0.0,0.0,0.0
two_tank,0,mlp_state_space,bad_rmse,0.15,0.6,0.3333333333333333,0.2,0.1333333333333333
two_tank,0,mlp_state_space,bad_rmse,0.15,0.8,0.475,0.4,0.07499999999999996
two_tank,0,mlp_state_space,bad_rmse,0.15,1.0,0.52,0.52,0.0
two_tank,0,ensemble_mlp,bad_rmse,0.15,0.01,0.0,0.0,0.0
two_tank,0,ensemble_mlp,bad_rmse,0.15,0.02,0.0,0.0,0.0
two_tank,0,ensemble_mlp,bad_rmse,0.15,0.05,0.0,0.0,0.0
two_tank,0,ensemble_mlp,bad_rmse,0.15,0.1,0.0,0.0,0.0
two_tank,0,ensemble_mlp,bad_rmse,0.15,0.2,0.0,0.0,0.0
two_tank,0,ensemble_mlp,bad_rmse,0.15,0.4,0.0,0.0,0.0
two_tank,0,ensemble_mlp,bad_rmse,0.15,0.6,0.3333333333333333,0.3333333333333333,0.0
two_tank,0,ensemble_mlp,bad_rmse,0.15,0.8,0.5,0.5,0.0
two_tank,0,ensemble_mlp,bad_rmse,0.15,1.0,0.6,0.6,0.0
two_tank,0,gradient_boosted_narx,bad_rmse,0.15,0.01,0.0,0.0,0.0
two_tank,0,gradient_boosted_narx,bad_rmse,0.15,0.02,0.0,0.0,0.0
two_tank,0,gradient_boosted_narx,bad_rmse,0.15,0.05,0.0,0.0,0.0
two_tank,0,gradient_boosted_narx,bad_rmse,0.15,0.1,0.0,0.0,0.0
two_tank,0,gradient_boosted_narx,bad_rmse,0.15,0.2,0.0,0.0,0.0
two_tank,0,gradient_boosted_narx,bad_rmse,0.15,0.4,0.0,0.0,0.0
two_tank,0,gradient_boosted_narx,bad_rmse,0.15,0.6,0.2,0.2,0.0
two_tank,0,gradient_boosted_narx,bad_rmse,0.15,0.8,0.4,0.4,0.0
two_tank,0,gradient_boosted_narx,bad_rmse,0.15,1.0,0.52,0.52,0.0
two_tank,0,hold_last,bad_rmse,0.2,0.01,0.0,0.0,0.0
two_tank,0,hold_last,bad_rmse,0.2,0.02,0.0,0.0,0.0
