system_id,seed,model_id,split,rmse_mean,mae_mean,max_abs_error_mean,final_state_error_mean,n_scenarios
two_tank,0,ensemble_mlp,judge_test_id,0.011777904086300748,0.01011916392084554,0.022906894154998848,0.022733692663550447,10
two_tank,0,ensemble_mlp,judge_test_ood_action_magnitude,0.3195989645664764,0.2735798874542581,0.5805037227394952,0.45042195530075,10
two_tank,0,ensemble_mlp,judge_test_ood_combined,0.19632999276192958,0.12491131839697926,0.5353934036328485,0.519883428838636,10
two_tank,0,ensemble_mlp,judge_test_ood_inflow_spike,0.19706184692303552,0.13019252028974596,0.4210210404062069,0.34183678790084765,10
two_tank,0,ensemble_mlp,judge_test_pump_degradation,0.046223536581976706,0.030095688589557072,0.1260055227940941,0.14182760082874643,10
two_tank,0,gradient_boosted_narx,judge_test_id,0.022368054780109125,0.01933515473929853,0.040819105352218533,0.041403858496723775,10
two_tank,0,gradient_boosted_narx,judge_test_ood_action_magnitude,0.25845201517172717,0.2263665629898525,0.41720224865453687,0.3207270505541668,10
two_tank,0,gradient_boosted_narx,judge_test_ood_combined,0.2052440366049156,0.1372846190150076,0.4894631137767023,0.48318312071503355,10
two_tank,0,gradient_boosted_narx,judge_test_ood_inflow_spike,0.20516151519708492,0.13308759378478782,0.43631284217570193,0.36467687583111663,10
two_tank,0,gradient_boosted_narx,judge_test_pump_degradation,0.0988399714094548,0.06890796511721775,0.22455004158237163,0.30706822582945803,10
two_tank,0,hold_last,judge_test_id,0.370500314117368,0.33194653265817703,0.5743913158830474,0.7517568712214787,10
two_tank,0,hold_last,judge_test_ood_action_magnitude,0.6145871169509187,0.5735204525576367,0.7587457318453831,1.0118004670346556,10
two_tank,0,hold_last,judge_test_ood_combined,0.4055777905831909,0.32069636389351774,0.7718474496199239,0.8505311371352763,10
two_tank,0,hold_last,judge_test_ood_inflow_spike,0.3329667899113482,0.2561153338338628,0.6990414678017005,0.7118759977879732,10
two_tank,0,hold_last,judge_test_pump_degradation,0.3552291037674121,0.32752299423891584,0.4715197987191765,0.561215850840581,10
two_tank,0,linear_narx,judge_test_id,0.011844503584138895,0.010562543422736438,0.017161257890520344,0.014909457449233809,10
two_tank,0,linear_narx,judge_test_ood_action_magnitude,0.26404193279028465,0.21739565808533667,0.4369978348135639,0.617707492373025,10
two_tank,0,linear_narx,judge_test_ood_combined,0.200458790315403,0.13080855176812387,0.4681089009988314,0.6607253752309681,10
two_tank,0,linear_narx,judge_test_ood_inflow_spike,0.010303930546066037,0.008970579167741684,0.016107205600623863,0.01987210828289894,10
two_tank,0,linear_narx,judge_test_pump_degradation,0.013548480600153465,0.010776524810919487,0.025265921123416923,0.03427430898892677,10
two_tank,0,mlp_state_space,judge_test_id,0.013776425246817192,0.011931606085342782,0.024818165529035995,0.022321114519751956,10
two_tank,0,mlp_state_space,judge_test_ood_action_magnitude,0.3082503015281668,0.2625542179965445,0.5550480276692051,0.40317191181751666,10
two_tank,0,mlp_state_space,judge_test_ood_combined,0.1745202965692937,0.11432636223310885,0.435652081044438,0.40862526938773164,10
two_tank,0,mlp_state_space,judge_test_ood_inflow_spike,0.17483937198946217,0.11037968860518918,0.3917994180435117,0.2828058674784394,10
two_tank,0,mlp_state_space,judge_test_pump_degradation,0.08130431685107678,0.04952518174481881,0.23676081085650078,0.25431938455681324,10
two_tank,1,ensemble_mlp,judge_test_id,0.006900432401301722,0.005859830739024532,0.012734820212726917,0.009590825338803488,10
two_tank,1,ensemble_mlp,judge_test_ood_action_magnitude,0.25228690366995676,0.20543925158730741,0.49629068230995976,0.4566039295971961,10
two_tank,1,ensemble_mlp,judge_test_ood_combined,0.15687114454732534,0.10196657378818412,0.38873884952647236,0.38180651090733086,10
two_tank,1,ensemble_mlp,judge_test_ood_inflow_spike,0.17345054448685898,0.10917433971756582,0.3822669477012951,0.2899157365663745,10
