model_id,system_id,split,is_builtin,is_custom,rmse_mean,mae_mean,max_abs_error_mean,final_state_error_mean
hold_last,two_tank,id_test,True,False,0.5127591495229298,0.4812404973642737,0.7190935028254234,0.8554441028572495
hold_last,two_tank,ood_action_magnitude,True,False,0.6378932657707574,0.6162678291783834,0.8014186021636099,0.9635272937985644
hold_last,two_tank,ood_combined,True,False,0.6961138824057538,0.563080756229936,1.3208997081015232,1.3717436873899935
hold_last,two_tank,ood_inflow_spike,True,False,0.5997043549270014,0.4952863937084389,1.069317824241266,1.1007118785999044
linear_narx,two_tank,id_test,True,False,0.008156431089751786,0.006692683455124527,0.01646579083205658,0.009265493489493893
linear_narx,two_tank,ood_action_magnitude,True,False,0.40165190727433725,0.3676429041993592,0.5282435457604377,0.6185879712796678
linear_narx,two_tank,ood_combined,True,False,0.36725048215489664,0.27051434525274104,0.6355789525922912,0.8939360499051954
linear_narx,two_tank,ood_inflow_spike,True,False,0.03524293692508826,0.02214592560764009,0.10418642062715577,0.006374764968409901
mlp_state_space,two_tank,id_test,True,False,0.0008081568444588337,0.0006612671798410896,0.0018799824197131799,0.0011604353701039646
mlp_state_space,two_tank,ood_action_magnitude,True,False,0.2712776775666786,0.24701379610829385,0.399484362043604,0.45876794803136806
mlp_state_space,two_tank,ood_combined,True,False,0.3664958428640422,0.22376931266984879,0.9495051894421316,0.9736963528348316
mlp_state_space,two_tank,ood_inflow_spike,True,False,0.19157014375326462,0.14968459380831567,0.34990888807742215,0.3424840901288972
