system_id,seed,badness_target,coverage,mean_absolute_margin,mean_relative_margin,seed_win,false_accept_rate,baseline_far
heat_exchanger,0,bad_event,0.05,0.0,0.0,0.0,0.2,0.2
heat_exchanger,0,bad_event,0.1,-0.05714285714285714,-0.07999999999999999,0.0,0.2,0.14285714285714285
heat_exchanger,0,bad_rmse,0.05,0.0,0.0,0.0,0.20833333333333334,0.20833333333333334
heat_exchanger,0,bad_rmse,0.1,0.0,0.0,0.0,0.22380952380952382,0.22380952380952382
heat_exchanger,0,bad_rmse_or_event,0.05,0.0,0.0,0.0,0.20833333333333334,0.20833333333333334
heat_exchanger,0,bad_rmse_or_event,0.1,0.0,0.0,0.0,0.22380952380952382,0.22380952380952382
heat_exchanger,1,bad_event,0.05,-0.05,-0.06666666666666667,0.0,0.2,0.15
heat_exchanger,1,bad_event,0.1,-0.0857142857142857,-0.07999999999999999,0.0,0.22857142857142856,0.14285714285714285
heat_exchanger,1,bad_rmse,0.05,0.0,0.0,0.0,0.225,0.225
heat_exchanger,1,bad_rmse,0.1,-0.009523809523809523,0.0,0.0,0.23809523809523808,0.2285714285714286
heat_exchanger,1,bad_rmse_or_event,0.05,0.0,0.0,0.0,0.225,0.225
heat_exchanger,1,bad_rmse_or_event,0.1,-0.03333333333333332,0.0,0.0,0.2619047619047619,0.2285714285714286
heat_exchanger,2,bad_event,0.05,0.0,0.0,0.0,0.2,0.2
heat_exchanger,2,bad_event,0.1,-0.05714285714285714,-0.07999999999999999,0.0,0.2,0.14285714285714285
heat_exchanger,2,bad_rmse,0.05,0.0,0.0,0.0,0.2,0.2
heat_exchanger,2,bad_rmse,0.1,0.0,0.0,0.0,0.21904761904761905,0.21904761904761905
heat_exchanger,2,bad_rmse_or_event,0.05,0.0,0.0,0.0,0.2,0.2
heat_exchanger,2,bad_rmse_or_event,0.1,0.0,0.0,0.0,0.21904761904761905,0.21904761904761905
heat_exchanger,3,bad_event,0.05,-0.15,-0.6,0.0,0.2,0.05
heat_exchanger,3,bad_event,0.1,-0.08571428571428572,-0.15000000000000002,0.0,0.2,0.11428571428571428
heat_exchanger,3,bad_rmse,0.05,-0.008333333333333333,-0.03333333333333333,0.0,0.25,0.24166666666666667
heat_exchanger,3,bad_rmse,0.1,0.0,0.0,0.0,0.2571428571428571,0.2571428571428571
heat_exchanger,3,bad_rmse_or_event,0.05,-0.008333333333333333,-0.03333333333333333,0.0,0.25,0.24166666666666667
heat_exchanger,3,bad_rmse_or_event,0.1,0.0,0.0,0.0,0.2571428571428571,0.2571428571428571
heat_exchanger,4,bad_event,0.05,-0.1,0.0,0.0,0.3,0.2
