scenario_id,system_id,role,split,split_group,scenario_type,model_id,rmse,mae,max_abs_error,final_state_error,support_distance,uncertainty_score,disagreement_score,invariant_residual,repair_amount,bad_rmse_label,risk_support_only,risk_uncertainty_only,risk_disagreement_only,risk_invariant_only,risk_repair_only,risk_combined_linear,risk_random_baseline,risk_oracle_error_rank,risk_best_single_signal_selected_on_calibration,risk_rank_normalized_linear,risk_calibration_selected_candidate_ranker,risk_logistic_calibrated_judge,risk_isotonic_calibrated_judge,risk_quantile_rule_judge,risk_conservative_low_coverage_judge,true_any_event,predicted_any_event,true_overflow_event,predicted_overflow_event,bad_overflow_event,true_underflow_event,predicted_underflow_event,bad_underflow_event,bad_event,true_temperature_above_limit,predicted_temperature_above_limit,bad_temperature_above_limit,true_concentration_out_of_safe_range,predicted_concentration_out_of_safe_range,bad_concentration_out_of_safe_range,true_unsafe_reactor_state,predicted_unsafe_reactor_state,bad_unsafe_reactor_state
judge_test_id_0000,two_tank,judge_test,judge_test_id,normal_policy,normal_policy,hold_last,1.0974730170491531,1.045487845373479,1.4175376373215034,1.797513400969384,1.7601516416296616,0.0,0.7338581030184207,0.0061769115616647,0.0,True,1.7601516416296616,0.0,0.7338581030184207,0.0061769115616647,0.0,0.1862778817346919,0.9314286228034454,1.0974730170491531,0.0061769115616647,0.723,0.7338581030184207,0.916219608124296,0.95,0.0061769115616647,0.6218918057630838,False,False,False,False,False,False,False,False,False,,,,,,,,,
judge_test_id_0000,two_tank,judge_test,judge_test_id,normal_policy,normal_policy,linear_narx,0.0091036812251039,0.0070575846682213,0.0230845006323505,0.0004468364199191,1.7601516416296616,0.0068882148210013,0.7338581030184207,2.640439899043862e-07,0.0,False,1.7601516416296616,0.0068882148210013,0.7338581030184207,2.640439899043862e-07,0.0,0.342125127305645,0.2864943621265918,0.0091036812251039,2.640439899043862e-07,0.2319999999999999,0.2379047619047618,0.0664155943954909,0.1111111111111111,2.640439899043862e-07,0.9383984978797258,False,False,False,False,False,False,False,False,False,,,,,,,,,
judge_test_id_0000,two_tank,judge_test,judge_test_id,normal_policy,normal_policy,mlp_state_space,0.0019294840578202,0.0016289663641622,0.0050914679665616,0.0027281876144448,1.7601516416296616,0.0015802821095061,0.7338581030184207,0.0001551776730457,0.0,False,1.7601516416296616,0.0015802821095061,0.7338581030184207,0.0001551776730457,0.0,0.1891161497098054,0.8811982786997006,0.0019294840578202,0.0001551776730457,0.5,0.3399999999999999,0.1522739505125623,0.3333333333333333,0.0001551776730457,0.5817642950127038,False,False,False,False,False,False,False,False,False,,,,,,,,,
judge_test_id_0001,two_tank,judge_test,judge_test_id,normal_policy,normal_policy,hold_last,0.2647606552222502,0.2395454518447971,0.43678956551219,0.4582939705662177,1.5460314542771345,2.220446049250313e-16,0.1774587242338518,0.0062587195496671,0.0,True,1.5460314542771345,2.220446049250313e-16,0.1774587242338518,0.0062587195496671,0.0,0.0694785493358225,0.759897095135174,0.2647606552222502,0.0062587195496671,0.551,0.1774587242338518,0.4443090432862153,0.95,0.0062587195496671,0.1676481830093674,False,False,False,False,False,False,False,False,False,,,,,,,,,
judge_test_id_0001,two_tank,judge_test,judge_test_id,normal_policy,normal_policy,linear_narx,0.005908842878249,0.0048870573594336,0.0118353087801823,0.0024462934736965,1.5460314542771345,0.006888214821002,0.1774587242338518,3.555993483432492e-07,0.0,False,1.5460314542771345,0.006888214821002,0.1774587242338518,3.555993483432492e-07,0.0,0.2247416583548777,0.0850874515490937,0.005908842878249,3.555993483432492e-07,0.167,0.1083809523809523,0.0049114271938182,0.3235294117647059,3.555993483432492e-07,0.4821534306562073,False,False,False,False,False,False,False,False,False,,,,,,,,,
judge_test_id_0001,two_tank,judge_test,judge_test_id,normal_policy,normal_policy,mlp_state_space,0.0010155880352564,0.000788257300737,0.0022238981519961,0.0028083692223905,1.5460314542771345,0.001578924409311,0.1774587242338518,0.0001180525045979,0.0,False,1.5460314542771345,0.001578924409311,0.1774587242338518,0.0001180525045979,0.0,0.0714272221369287,0.7064168871054908,0.0010155880352564,0.0001180525045979,0.311,0.1632380952380952,0.0120245680966885,0.3333333333333333,0.0001180525045979,0.1245165639291282,False,False,False,False,False,False,False,False,False,,,,,,,,,
judge_test_id_0002,two_tank,judge_test,judge_test_id,normal_policy,normal_policy,hold_last,0.6814225198195666,0.6459534833250932,0.9356419123083236,1.1323014541902514,1.6085917576694024,0.0,0.4559748006358075,0.0058979416686568,0.0,True,1.6085917576694024,0.0,0.4559748006358075,0.0058979416686568,0.0,0.1250458373125627,0.7084253382318976,0.6814225198195666,0.0058979416686568,0.602,0.4559748006358075,0.7034964820754723,0.9,0.0058979416686568,0.3848860189722489,False,False,False,False,False,False,False,False,False,,,,,,,,,
judge_test_id_0002,two_tank,judge_test,judge_test_id,normal_policy,normal_policy,linear_narx,0.0070636621510599,0.0061458136054782,0.0110809393490902,0.0152985008254749,1.6085917576694024,0.0068882148210018,0.4559748006358075,2.6432918741363e-07,0.0,False,1.6085917576694024,0.0068882148210018,0.4559748006358075,2.6432918741363e-07,0.0,0.2828872555696139,0.4155760891167428,0.0070636621510599,2.6432918741363e-07,0.142,0.143047619047619,0.0181244673496821,0.1111111111111111,2.6432918741363e-07,0.7082229080537047,False,False,False,False,False,False,False,False,False,,,,,,,,,
judge_test_id_0002,two_tank,judge_test,judge_test_id,normal_policy,normal_policy,mlp_state_space,0.0011161199603021,0.0009433444004291,0.0020399737349654,0.0009708219318915,1.6085917576694024,0.0015825079475865,0.4559748006358075,0.0001008648636006,0.0,False,1.6085917576694024,0.0015825079475865,0.4559748006358075,0.0001008648636006,0.0,0.1295546571302855,0.8820540808524437,0.0011161199603021,0.0001008648636006,0.383,0.2348571428571428,0.0430592034137699,0.3333333333333333,0.0001008648636006,0.3504100720226686,False,False,False,False,False,False,False,False,False,,,,,,,,,
judge_test_id_0003,two_tank,judge_test,judge_test_id,normal_policy,normal_policy,hold_last,0.2142649942944753,0.1883901681564359,0.3636769323227469,0.3765443011922476,1.5787603626585638,2.220446049250313e-16,0.1438357930634078,0.0055851543291219,0.0,True,1.5787603626585638,2.220446049250313e-16,0.1438357930634078,0.0055851543291219,0.0,0.0581971430210551,0.9069604954599092,0.2142649942944753,0.0055851543291219,0.461,0.1438357930634078,0.3100020074967149,0.9,0.0055851543291219,0.1367376846421463,False,False,False,False,False,False,False,False,False,,,,,,,,,
