comparator_mode,badness_target,mean_calibrated_far,mean_baseline_far,mean_absolute_margin,mean_relative_margin,seed_win_rate,row_count,deployable,diagnostic
best_calibrated_family_vs_per_system_target_baseline,bad_event,0.08678571428571429,0.08488095238095238,-0.0019047619047619048,0.036587301587301585,0.043333333333333335,300,True,False
best_calibrated_family_vs_per_system_target_baseline,bad_rmse,0.16991931216931216,0.17110449735449734,0.0011851851851851854,0.005601851851851852,0.011111111111111112,1800,True,False
best_calibrated_family_vs_per_system_target_baseline,bad_rmse_or_event,0.17487830687830688,0.17335978835978835,-0.0015185185185185182,0.009398148148148147,0.018333333333333333,1800,True,False
global_calibration_selected_baseline,bad_event,0.08845238095238095,0.08738095238095238,-0.0010714285714285702,0.06055555555555556,0.08666666666666667,300,True,False
global_calibration_selected_baseline,bad_rmse,0.1708399470899471,0.1794378306878307,0.008597883597883597,0.04927910052910053,0.06722222222222222,1800,True,False
global_calibration_selected_baseline,bad_rmse_or_event,0.17349867724867724,0.189973544973545,0.016474867724867722,0.08913359788359788,0.10388888888888889,1800,True,False
per_system_calibration_selected_baseline,bad_event,0.08845238095238095,0.06988095238095239,-0.01857142857142857,0.013253968253968254,0.016666666666666666,300,True,False
per_system_calibration_selected_baseline,bad_rmse,0.1708399470899471,0.1699616402116402,-0.0008783068783068783,0.012953703703703703,0.02277777777777778,1800,True,False
per_system_calibration_selected_baseline,bad_rmse_or_event,0.17349867724867724,0.17084126984126985,-0.0026574074074074074,0.012212962962962964,0.021111111111111112,1800,True,False
per_system_target_calibration_selected_baseline,bad_event,0.08845238095238095,0.08488095238095238,-0.0035714285714285713,0.036587301587301585,0.043333333333333335,300,True,False
per_system_target_calibration_selected_baseline,bad_rmse,0.1708399470899471,0.17110449735449734,0.0002645502645502648,0.011750000000000002,0.019444444444444445,1800,True,False
per_system_target_calibration_selected_baseline,bad_rmse_or_event,0.17349867724867724,0.17335978835978835,-0.00013888888888888883,0.013509259259259259,0.020555555555555556,1800,True,False
row_wise_strongest_baseline_envelope,bad_event,0.08845238095238095,0.05226190476190476,-0.03619047619047619,-0.02766666666666667,0.0,300,False,True
row_wise_strongest_baseline_envelope,bad_rmse,0.1708399470899471,0.15515608465608466,-0.015683862433862435,-0.009601851851851853,0.0,1800,False,True
row_wise_strongest_baseline_envelope,bad_rmse_or_event,0.17349867724867724,0.1567830687830688,-0.016715608465608465,-0.009601851851851853,0.0,1800,False,True
