model_id,system_id,split,is_builtin,is_custom,rmse_mean,mae_mean,max_abs_error_mean,final_state_error_mean
damped_linear_user,two_tank,id_test,False,True,0.01792884058639026,0.015339393623338981,0.03250009303170786,0.018083993271998743
damped_linear_user,two_tank,ood_action_magnitude,False,True,0.39012298253406696,0.3572093108831198,0.5165004688154081,0.6168899955066292
damped_linear_user,two_tank,ood_combined,False,True,0.35374754685352877,0.25979037705466657,0.6766006317411584,0.8821312200639118
damped_linear_user,two_tank,ood_inflow_spike,False,True,0.04453912435299543,0.03629943911413778,0.1350764284915143,0.055143836345352255
linear_narx,two_tank,id_test,True,False,0.008156431089751786,0.006692683455124527,0.01646579083205658,0.009265493489493893
linear_narx,two_tank,ood_action_magnitude,True,False,0.40165190727433725,0.3676429041993592,0.5282435457604377,0.6185879712796678
linear_narx,two_tank,ood_combined,True,False,0.36725048215489664,0.27051434525274104,0.6355789525922912,0.8939360499051954
linear_narx,two_tank,ood_inflow_spike,True,False,0.03524293692508826,0.02214592560764009,0.10418642062715577,0.006374764968409901
mlp_state_space,two_tank,id_test,True,False,0.001540895954440668,0.0012528038055851715,0.0032770214123641894,0.0020567914006966908
mlp_state_space,two_tank,ood_action_magnitude,True,False,0.4081099909984695,0.3533708324537009,0.681870198864265,0.7083100899361837
mlp_state_space,two_tank,ood_combined,True,False,0.4940253657881584,0.3161866353629497,1.2591730663872864,1.3322027786582888
mlp_state_space,two_tank,ood_inflow_spike,True,False,0.21854490290418402,0.16476672413208734,0.4743338007532644,0.3748942767768014
