path,bytes,status,justification
results/v2_scientific_strengthening/frozen_protocol/v2_risk_coverage.csv,43239510,justified,kept as frozen v2 diagnostic evidence used by the public event-risk figure and package checks
results/v2_scientific_strengthening/frozen_protocol/v2_scenario_scores.csv,69302650,justified,kept as frozen v2 diagnostic evidence used by the public failure gallery and package checks
