system_id,seed,coverage,baseline_far,best_calibrated_family_far,absolute_margin,relative_margin,win,calibrated_judge_policy
two_tank,0,0.05,0.6533333333333334,0.4666666666666667,0.18666666666666676,0.2857142857142858,True,best_calibrated_family_per_model_scenario
two_tank,1,0.05,0.6133333333333333,0.48000000000000004,0.13333333333333325,0.21739130434782597,True,best_calibrated_family_per_model_scenario
two_tank,2,0.05,0.6666666666666666,0.49333333333333335,0.17333333333333328,0.25999999999999995,True,best_calibrated_family_per_model_scenario
two_tank,3,0.05,0.6533333333333334,0.5066666666666666,0.14666666666666683,0.22448979591836757,True,best_calibrated_family_per_model_scenario
two_tank,4,0.05,0.6666666666666666,0.48000000000000004,0.1866666666666666,0.2799999999999999,True,best_calibrated_family_per_model_scenario
two_tank,5,0.05,0.6266666666666667,0.4666666666666667,0.16000000000000003,0.25531914893617025,True,best_calibrated_family_per_model_scenario
two_tank,6,0.05,0.6533333333333334,0.48000000000000004,0.1733333333333334,0.26530612244897966,True,best_calibrated_family_per_model_scenario
two_tank,7,0.05,0.6533333333333334,0.48000000000000004,0.1733333333333334,0.26530612244897966,True,best_calibrated_family_per_model_scenario
two_tank,8,0.05,0.6533333333333334,0.4666666666666667,0.18666666666666676,0.2857142857142858,True,best_calibrated_family_per_model_scenario
two_tank,9,0.05,0.6666666666666666,0.4666666666666667,0.19999999999999996,0.29999999999999993,True,best_calibrated_family_per_model_scenario
two_tank,0,0.1,0.66,0.5066666666666666,0.15333333333333343,0.23232323232323246,True,best_calibrated_family_per_model_scenario
two_tank,1,0.1,0.6333333333333333,0.5066666666666666,0.1266666666666667,0.20000000000000007,True,best_calibrated_family_per_model_scenario
two_tank,2,0.1,0.6466666666666667,0.52,0.1266666666666667,0.19587628865979387,True,best_calibrated_family_per_model_scenario
two_tank,3,0.1,0.6466666666666667,0.5533333333333333,0.09333333333333338,0.14432989690721656,True,best_calibrated_family_per_model_scenario
two_tank,4,0.1,0.66,0.5133333333333333,0.14666666666666672,0.2222222222222223,True,best_calibrated_family_per_model_scenario
two_tank,5,0.1,0.6466666666666667,0.5133333333333333,0.13333333333333341,0.20618556701030938,True,best_calibrated_family_per_model_scenario
two_tank,6,0.1,0.6466666666666667,0.5066666666666666,0.14000000000000012,0.21649484536082492,True,best_calibrated_family_per_model_scenario
two_tank,7,0.1,0.6466666666666667,0.5066666666666666,0.14000000000000012,0.21649484536082492,True,best_calibrated_family_per_model_scenario
two_tank,8,0.1,0.6466666666666667,0.5133333333333333,0.13333333333333341,0.20618556701030938,True,best_calibrated_family_per_model_scenario
two_tank,9,0.1,0.6400000000000001,0.5066666666666666,0.13333333333333353,0.2083333333333336,True,best_calibrated_family_per_model_scenario
cstr,0,0.05,0.6190476190476191,0.5904761904761905,0.02857142857142858,0.04615384615384617,True,best_calibrated_family_per_model_scenario
cstr,1,0.05,0.6666666666666666,0.6190476190476191,0.04761904761904756,0.07142857142857134,True,best_calibrated_family_per_model_scenario
cstr,2,0.05,0.6190476190476191,0.6190476190476191,0.0,0.0,False,best_calibrated_family_per_model_scenario
cstr,3,0.05,0.6666666666666666,0.6380952380952382,0.02857142857142847,0.042857142857142705,True,best_calibrated_family_per_model_scenario
cstr,4,0.05,0.6285714285714286,0.6190476190476191,0.00952380952380949,0.015151515151515098,True,best_calibrated_family_per_model_scenario
cstr,5,0.05,0.6285714285714286,0.6190476190476191,0.00952380952380949,0.015151515151515098,True,best_calibrated_family_per_model_scenario
cstr,6,0.05,0.6285714285714286,0.6190476190476191,0.00952380952380949,0.015151515151515098,True,best_calibrated_family_per_model_scenario
cstr,7,0.05,0.6190476190476191,0.6190476190476191,0.0,0.0,False,best_calibrated_family_per_model_scenario
cstr,8,0.05,0.6190476190476191,0.6190476190476191,0.0,0.0,False,best_calibrated_family_per_model_scenario
cstr,9,0.05,0.6666666666666666,0.6380952380952382,0.02857142857142847,0.042857142857142705,True,best_calibrated_family_per_model_scenario
cstr,0,0.1,0.6142857142857143,0.6,0.014285714285714346,0.02325581395348847,True,best_calibrated_family_per_model_scenario
cstr,1,0.1,0.6666666666666666,0.6190476190476191,0.04761904761904756,0.07142857142857134,True,best_calibrated_family_per_model_scenario
cstr,2,0.1,0.6190476190476191,0.6190476190476191,0.0,0.0,False,best_calibrated_family_per_model_scenario
cstr,3,0.1,0.6619047619047619,0.6476190476190476,0.014285714285714235,0.021582733812949565,True,best_calibrated_family_per_model_scenario
cstr,4,0.1,0.6238095238095238,0.6190476190476191,0.004761904761904745,0.007633587786259515,True,best_calibrated_family_per_model_scenario
cstr,5,0.1,0.6238095238095238,0.6238095238095238,0.0,0.0,False,best_calibrated_family_per_model_scenario
cstr,6,0.1,0.6333333333333334,0.6190476190476191,0.014285714285714346,0.0225563909774437,True,best_calibrated_family_per_model_scenario
cstr,7,0.1,0.6190476190476191,0.6190476190476191,0.0,0.0,False,best_calibrated_family_per_model_scenario
cstr,8,0.1,0.6190476190476191,0.6190476190476191,0.0,0.0,False,best_calibrated_family_per_model_scenario
cstr,9,0.1,0.6666666666666666,0.6285714285714286,0.03809523809523807,0.057142857142857106,True,best_calibrated_family_per_model_scenario
