model_id,system_id,split,is_builtin,is_custom,rmse_mean,mae_mean,max_abs_error_mean,final_state_error_mean
hold_last,two_tank,id_test,True,False,0.3679807991513995,0.3321602705626404,0.5611746849915681,0.7190424537160801
hold_last,two_tank,ood_action_magnitude,True,False,0.6270742826803674,0.5921405852847907,0.7593043992012888,0.9989745491329959
hold_last,two_tank,ood_combined,True,False,0.5821181564556578,0.47754638325448046,1.061135812383278,1.1412017062329571
hold_last,two_tank,ood_inflow_spike,True,False,0.33020077946284754,0.2575528386423572,0.6712063736926055,0.6878152355574971
linear_narx,two_tank,id_test,True,False,0.007701575519365931,0.0065082855731016425,0.012640395933827117,0.0102602056272538
linear_narx,two_tank,ood_action_magnitude,True,False,0.28493872870803477,0.24043081593343063,0.4461500826479428,0.6287512879604278
linear_narx,two_tank,ood_combined,True,False,0.2101703012665873,0.13157059713284958,0.48388298560136533,0.6837718371956626
linear_narx,two_tank,ood_inflow_spike,True,False,0.020001739515687244,0.016235904519965413,0.042339703068389155,0.009567922912497974
mlp_state_space,two_tank,id_test,True,False,0.0022737312727067194,0.0019018437737993545,0.0041207673321482785,0.0023327154316365104
mlp_state_space,two_tank,ood_action_magnitude,True,False,0.27189271827825073,0.22998596842507024,0.4776825963408779,0.22783734303137612
mlp_state_space,two_tank,ood_combined,True,False,0.17479445994477885,0.11974923183264193,0.40695605671790686,0.3720446045379345
mlp_state_space,two_tank,ood_inflow_spike,True,False,0.16777889030951676,0.1192948847232373,0.34509019827055076,0.28681219232729005
