seed,system_id,model_id,judge_id,split_group,scenario_type,coverage_requested,coverage_achieved,false_accept_rate,accepted_count,false_accept_count,bad_count_total,mean_error_accepted,mean_error_rejected,threshold,is_real_judge,is_oracle,is_calibrated
0,two_tank,hold_last,combined_linear,normal_policy,normal_policy,0.05,0.05,0.0,5,0,90,0.0945672963276513,0.549298308581311,0.15,True,False,False
0,two_tank,hold_last,combined_linear,normal_policy,normal_policy,0.1,0.1,0.2,10,2,90,0.1234090288615038,0.5713565056471974,0.15,True,False,False
0,two_tank,hold_last,combined_linear,normal_policy,normal_policy,0.2,0.2,0.5,20,10,90,0.1537384552311002,0.61976758365301,0.15,True,False,False
0,two_tank,hold_last,combined_linear,normal_policy,normal_policy,0.4,0.4,0.75,40,30,90,0.240683867612233,0.7171470182062247,0.15,True,False,False
0,two_tank,hold_last,combined_linear,normal_policy,normal_policy,0.6,0.6,0.8333333333333334,60,50,90,0.3073832917295531,0.8553294573272406,0.15,True,False,False
0,two_tank,hold_last,combined_linear,normal_policy,normal_policy,0.8,0.8,0.875,80,70,90,0.4142197936808963,0.9759296151195552,0.15,True,False,False
0,two_tank,hold_last,combined_linear,normal_policy,normal_policy,1.0,1.0,0.9,100,90,90,0.526561757968628,0.0,0.15,True,False,False
0,two_tank,hold_last,best_single_signal_selected_on_calibration,normal_policy,normal_policy,0.05,0.05,0.8,5,4,90,0.605751881623124,0.5223938567236546,0.15,True,False,True
0,two_tank,hold_last,best_single_signal_selected_on_calibration,normal_policy,normal_policy,0.1,0.1,0.9,10,9,90,0.6117472632985587,0.517096701820858,0.15,True,False,True
0,two_tank,hold_last,best_single_signal_selected_on_calibration,normal_policy,normal_policy,0.2,0.2,0.9,20,18,90,0.5215034833613671,0.5278263266204434,0.15,True,False,True
0,two_tank,hold_last,best_single_signal_selected_on_calibration,normal_policy,normal_policy,0.4,0.4,0.95,40,38,90,0.5370801242687963,0.5195495137685159,0.15,True,False,True
0,two_tank,hold_last,best_single_signal_selected_on_calibration,normal_policy,normal_policy,0.6,0.6,0.9166666666666666,60,55,90,0.5399711757341419,0.5064476313203571,0.15,True,False,True
0,two_tank,hold_last,best_single_signal_selected_on_calibration,normal_policy,normal_policy,0.8,0.8,0.9,80,72,90,0.5306961723069892,0.510024100615184,0.15,True,False,True
0,two_tank,hold_last,best_single_signal_selected_on_calibration,normal_policy,normal_policy,1.0,1.0,0.9,100,90,90,0.526561757968628,0.0,0.15,True,False,True
0,two_tank,hold_last,rank_normalized_linear,normal_policy,normal_policy,0.05,0.05,0.4,5,2,90,0.1285065580951647,0.5475120316461787,0.15,True,False,True
0,two_tank,hold_last,rank_normalized_linear,normal_policy,normal_policy,0.1,0.1,0.5,10,5,90,0.1716885148699549,0.565992118312925,0.15,True,False,True
0,two_tank,hold_last,rank_normalized_linear,normal_policy,normal_policy,0.2,0.2,0.55,20,11,90,0.1828556518732086,0.6124882844924828,0.15,True,False,True
0,two_tank,hold_last,rank_normalized_linear,normal_policy,normal_policy,0.4,0.4,0.75,40,30,90,0.2444591191195245,0.7146301838680305,0.15,True,False,True
0,two_tank,hold_last,rank_normalized_linear,normal_policy,normal_policy,0.6,0.6,0.8333333333333334,60,50,90,0.3176669829954465,0.8399039204284005,0.15,True,False,True
0,two_tank,hold_last,rank_normalized_linear,normal_policy,normal_policy,0.8,0.8,0.875,80,70,90,0.4184275933847732,0.9590984163040476,0.15,True,False,True
0,two_tank,hold_last,rank_normalized_linear,normal_policy,normal_policy,1.0,1.0,0.9,100,90,90,0.526561757968628,0.0,0.15,True,False,True
0,two_tank,hold_last,calibration_selected_candidate_ranker,normal_policy,normal_policy,0.05,0.05,0.0,5,0,90,0.0945672963276512,0.549298308581311,0.15,True,False,True
0,two_tank,hold_last,calibration_selected_candidate_ranker,normal_policy,normal_policy,0.1,0.1,0.0,10,0,90,0.1162472004483241,0.572152264359773,0.15,True,False,True
0,two_tank,hold_last,calibration_selected_candidate_ranker,normal_policy,normal_policy,0.2,0.2,0.5,20,10,90,0.1537384552311002,0.61976758365301,0.15,True,False,True
0,two_tank,hold_last,calibration_selected_candidate_ranker,normal_policy,normal_policy,0.4,0.4,0.75,40,30,90,0.2401766506764942,0.7174851628300506,0.15,True,False,True
0,two_tank,hold_last,calibration_selected_candidate_ranker,normal_policy,normal_policy,0.6,0.6,0.8333333333333334,60,50,90,0.3068049036471662,0.8561970394508208,0.15,True,False,True
0,two_tank,hold_last,calibration_selected_candidate_ranker,normal_policy,normal_policy,0.8,0.8,0.875,80,70,90,0.413520150768615,0.9787281867686805,0.15,True,False,True
0,two_tank,hold_last,calibration_selected_candidate_ranker,normal_policy,normal_policy,1.0,1.0,0.9,100,90,90,0.5265617579686281,0.0,0.15,True,False,True
0,two_tank,hold_last,logistic_calibrated_judge,normal_policy,normal_policy,0.05,0.05,0.2,5,1,90,0.1119301742397856,0.548384472901725,0.15,True,False,True
0,two_tank,hold_last,logistic_calibrated_judge,normal_policy,normal_policy,0.1,0.1,0.4,10,4,90,0.1493409918218008,0.5684751764293866,0.15,True,False,True
0,two_tank,hold_last,logistic_calibrated_judge,normal_policy,normal_policy,0.2,0.2,0.55,20,11,90,0.1828556518732087,0.6124882844924828,0.15,True,False,True
0,two_tank,hold_last,logistic_calibrated_judge,normal_policy,normal_policy,0.4,0.4,0.75,40,30,90,0.2508449637709865,0.7103729541003889,0.15,True,False,True
0,two_tank,hold_last,logistic_calibrated_judge,normal_policy,normal_policy,0.6,0.6,0.8333333333333334,60,50,90,0.3171418098686994,0.8406916801185211,0.15,True,False,True
0,two_tank,hold_last,logistic_calibrated_judge,normal_policy,normal_policy,0.8,0.8,0.875,80,70,90,0.4184275933847732,0.9590984163040476,0.15,True,False,True
0,two_tank,hold_last,logistic_calibrated_judge,normal_policy,normal_policy,1.0,1.0,0.9,100,90,90,0.5265617579686279,0.0,0.15,True,False,True
0,two_tank,hold_last,isotonic_calibrated_judge,normal_policy,normal_policy,0.05,0.05,0.8,5,4,90,0.5399877888524667,0.5258551247642155,0.15,True,False,True
0,two_tank,hold_last,isotonic_calibrated_judge,normal_policy,normal_policy,0.1,0.1,0.9,10,9,90,0.6696154337620573,0.5106669051026915,0.15,True,False,True
0,two_tank,hold_last,isotonic_calibrated_judge,normal_policy,normal_policy,0.2,0.2,0.9,20,18,90,0.5878930967304772,0.5112289232781658,0.15,True,False,True
0,two_tank,hold_last,isotonic_calibrated_judge,normal_policy,normal_policy,0.4,0.4,0.9,40,36,90,0.5515920769881364,0.5098748786222891,0.15,True,False,True
0,two_tank,hold_last,isotonic_calibrated_judge,normal_policy,normal_policy,0.6,0.6,0.9166666666666666,60,55,90,0.539971175734142,0.5064476313203571,0.15,True,False,True
0,two_tank,hold_last,isotonic_calibrated_judge,normal_policy,normal_policy,0.8,0.8,0.8875,80,71,90,0.5182106457318436,0.5599662069157654,0.15,True,False,True
0,two_tank,hold_last,isotonic_calibrated_judge,normal_policy,normal_policy,1.0,1.0,0.9,100,90,90,0.526561757968628,0.0,0.15,True,False,True
0,two_tank,hold_last,quantile_rule_judge,normal_policy,normal_policy,0.05,0.05,0.8,5,4,90,0.605751881623124,0.5223938567236546,0.15,True,False,True
0,two_tank,hold_last,quantile_rule_judge,normal_policy,normal_policy,0.1,0.1,0.9,10,9,90,0.6117472632985587,0.517096701820858,0.15,True,False,True
0,two_tank,hold_last,quantile_rule_judge,normal_policy,normal_policy,0.2,0.2,0.9,20,18,90,0.5215034833613671,0.5278263266204434,0.15,True,False,True
0,two_tank,hold_last,quantile_rule_judge,normal_policy,normal_policy,0.4,0.4,0.95,40,38,90,0.5370801242687963,0.5195495137685159,0.15,True,False,True
0,two_tank,hold_last,quantile_rule_judge,normal_policy,normal_policy,0.6,0.6,0.9166666666666666,60,55,90,0.5399711757341419,0.5064476313203571,0.15,True,False,True
0,two_tank,hold_last,quantile_rule_judge,normal_policy,normal_policy,0.8,0.8,0.9,80,72,90,0.5306961723069892,0.510024100615184,0.15,True,False,True
0,two_tank,hold_last,quantile_rule_judge,normal_policy,normal_policy,1.0,1.0,0.9,100,90,90,0.526561757968628,0.0,0.15,True,False,True
0,two_tank,hold_last,conservative_low_coverage_judge,normal_policy,normal_policy,0.05,0.05,0.6,5,3,90,0.1787866940878761,0.5448657086991939,0.15,True,False,True
0,two_tank,hold_last,conservative_low_coverage_judge,normal_policy,normal_policy,0.1,0.1,0.7,10,7,90,0.1956286254044736,0.5633321060313118,0.15,True,False,True
0,two_tank,hold_last,conservative_low_coverage_judge,normal_policy,normal_policy,0.2,0.2,0.6,20,12,90,0.1941802149785206,0.6096571437161549,0.15,True,False,True
0,two_tank,hold_last,conservative_low_coverage_judge,normal_policy,normal_policy,0.4,0.4,0.75,40,30,90,0.240683867612233,0.7171470182062247,0.15,True,False,True
0,two_tank,hold_last,conservative_low_coverage_judge,normal_policy,normal_policy,0.6,0.6,0.8333333333333334,60,50,90,0.3068278513856499,0.8561626178430952,0.15,True,False,True
0,two_tank,hold_last,conservative_low_coverage_judge,normal_policy,normal_policy,0.8,0.8,0.875,80,70,90,0.4142197936808962,0.9759296151195552,0.15,True,False,True
0,two_tank,hold_last,conservative_low_coverage_judge,normal_policy,normal_policy,1.0,1.0,0.9,100,90,90,0.526561757968628,0.0,0.15,True,False,True
0,two_tank,hold_last,random_baseline,normal_policy,normal_policy,0.05,0.05,0.8,5,4,90,0.5025170826557777,0.5278272671956202,0.15,True,False,False
0,two_tank,hold_last,random_baseline,normal_policy,normal_policy,0.1,0.1,0.8,10,8,90,0.5042614934222573,0.5290395651404469,0.15,True,False,False
0,two_tank,hold_last,random_baseline,normal_policy,normal_policy,0.2,0.2,0.9,20,18,90,0.5314514497659799,0.5253393350192901,0.15,True,False,False
0,two_tank,hold_last,random_baseline,normal_policy,normal_policy,0.4,0.4,0.9,40,36,90,0.5651655512635289,0.5008258957720275,0.15,True,False,False
0,two_tank,hold_last,random_baseline,normal_policy,normal_policy,0.6,0.6,0.8666666666666667,60,52,90,0.5452966993385929,0.4984593459136808,0.15,True,False,False
0,two_tank,hold_last,random_baseline,normal_policy,normal_policy,0.8,0.8,0.875,80,70,90,0.5250075374002957,0.5327786402419573,0.15,True,False,False
0,two_tank,hold_last,random_baseline,normal_policy,normal_policy,1.0,1.0,0.9,100,90,90,0.5265617579686281,0.0,0.15,True,False,False
0,two_tank,hold_last,oracle_error_rank,normal_policy,normal_policy,0.05,0.05,0.0,5,0,90,0.0945672963276512,0.549298308581311,0.15,False,True,False
0,two_tank,hold_last,oracle_error_rank,normal_policy,normal_policy,0.1,0.1,0.0,10,0,90,0.1162472004483241,0.572152264359773,0.15,False,True,False
0,two_tank,hold_last,oracle_error_rank,normal_policy,normal_policy,0.2,0.2,0.5,20,10,90,0.1537384552311002,0.61976758365301,0.15,False,True,False
0,two_tank,hold_last,oracle_error_rank,normal_policy,normal_policy,0.4,0.4,0.75,40,30,90,0.2401766506764942,0.7174851628300506,0.15,False,True,False
0,two_tank,hold_last,oracle_error_rank,normal_policy,normal_policy,0.6,0.6,0.8333333333333334,60,50,90,0.3068049036471662,0.8561970394508208,0.15,False,True,False
0,two_tank,hold_last,oracle_error_rank,normal_policy,normal_policy,0.8,0.8,0.875,80,70,90,0.413520150768615,0.9787281867686805,0.15,False,True,False
0,two_tank,hold_last,oracle_error_rank,normal_policy,normal_policy,1.0,1.0,0.9,100,90,90,0.5265617579686281,0.0,0.15,False,True,False
0,two_tank,linear_narx,support_only,normal_policy,normal_policy,0.05,0.05,0.0,5,0,0,0.0088618697297615,0.0086985747311868,0.15,True,False,False
0,two_tank,linear_narx,support_only,normal_policy,normal_policy,0.1,0.1,0.0,10,0,0,0.0074159684870371,0.0088501584804576,0.15,True,False,False
0,two_tank,linear_narx,support_only,normal_policy,normal_policy,0.2,0.2,0.0,20,0,0,0.0086180423393031,0.0087289137665687,0.15,True,False,False
0,two_tank,linear_narx,support_only,normal_policy,normal_policy,0.4,0.4,0.0,40,0,0,0.0078577332278379,0.0092727436499674,0.15,True,False,False
0,two_tank,linear_narx,support_only,normal_policy,normal_policy,0.6,0.6,0.0,60,0,0,0.0078942439252205,0.0099254828149582,0.15,True,False,False
0,two_tank,linear_narx,support_only,normal_policy,normal_policy,0.8,0.8,0.0,80,0,0,0.0082643750159147,0.0104761973419191,0.15,True,False,False
0,two_tank,linear_narx,support_only,normal_policy,normal_policy,1.0,1.0,0.0,100,0,0,0.0087067394811156,0.0,0.15,True,False,False
0,two_tank,linear_narx,uncertainty_only,normal_policy,normal_policy,0.05,0.05,0.0,5,0,0,0.0100161220772782,0.0086378246076333,0.15,True,False,False
0,two_tank,linear_narx,uncertainty_only,normal_policy,normal_policy,0.1,0.1,0.0,10,0,0,0.0077173799346132,0.0088166683196158,0.15,True,False,False
0,two_tank,linear_narx,uncertainty_only,normal_policy,normal_policy,0.2,0.2,0.0,20,0,0,0.0091809294641571,0.0085881919853552,0.15,True,False,False
0,two_tank,linear_narx,uncertainty_only,normal_policy,normal_policy,0.4,0.4,0.0,40,0,0,0.0091562100823912,0.0084070924135985,0.15,True,False,False
0,two_tank,linear_narx,uncertainty_only,normal_policy,normal_policy,0.6,0.6,0.0,60,0,0,0.008464073363424,0.0090707386576529,0.15,True,False,False
0,two_tank,linear_narx,uncertainty_only,normal_policy,normal_policy,0.8,0.8,0.0,80,0,0,0.0084976612378745,0.0095430524540798,0.15,True,False,False
0,two_tank,linear_narx,uncertainty_only,normal_policy,normal_policy,1.0,1.0,0.0,100,0,0,0.0087067394811156,0.0,0.15,True,False,False
0,two_tank,linear_narx,disagreement_only,normal_policy,normal_policy,0.05,0.05,0.0,5,0,0,0.0085752777562527,0.0087136585192662,0.15,True,False,False
0,two_tank,linear_narx,disagreement_only,normal_policy,normal_policy,0.1,0.1,0.0,10,0,0,0.0064931689263538,0.008952691764978,0.15,True,False,False
0,two_tank,linear_narx,disagreement_only,normal_policy,normal_policy,0.2,0.2,0.0,20,0,0,0.0092992356270206,0.0085586154446393,0.15,True,False,False
0,two_tank,linear_narx,disagreement_only,normal_policy,normal_policy,0.4,0.4,0.0,40,0,0,0.0086755602837406,0.0087275256126989,0.15,True,False,False
0,two_tank,linear_narx,disagreement_only,normal_policy,normal_policy,0.6,0.6,0.0,60,0,0,0.0083091474205158,0.0093031275720152,0.15,True,False,False
0,two_tank,linear_narx,disagreement_only,normal_policy,normal_policy,0.8,0.8,0.0,80,0,0,0.0081444743133721,0.0109558001520894,0.15,True,False,False
0,two_tank,linear_narx,disagreement_only,normal_policy,normal_policy,1.0,1.0,0.0,100,0,0,0.0087067394811156,0.0,0.15,True,False,False
0,two_tank,linear_narx,invariant_only,normal_policy,normal_policy,0.05,0.05,0.0,5,0,0,0.0070016477625339,0.0087964811505146,0.15,True,False,False
0,two_tank,linear_narx,invariant_only,normal_policy,normal_policy,0.1,0.1,0.0,10,0,0,0.0067875642001979,0.0089199811789953,0.15,True,False,False
0,two_tank,linear_narx,invariant_only,normal_policy,normal_policy,0.2,0.2,0.0,20,0,0,0.0073730551867717,0.0090401605547015,0.15,True,False,False
0,two_tank,linear_narx,invariant_only,normal_policy,normal_policy,0.4,0.4,0.0,40,0,0,0.007703354472261,0.009375662820352,0.15,True,False,False
0,two_tank,linear_narx,invariant_only,normal_policy,normal_policy,0.6,0.6,0.0,60,0,0,0.0076894508015406,0.010232672500478,0.15,True,False,False
0,two_tank,linear_narx,invariant_only,normal_policy,normal_policy,0.8,0.8,0.0,80,0,0,0.0081177330236732,0.0110627653108852,0.15,True,False,False
0,two_tank,linear_narx,invariant_only,normal_policy,normal_policy,1.0,1.0,0.0,100,0,0,0.0087067394811156,0.0,0.15,True,False,False
0,two_tank,linear_narx,repair_only,normal_policy,normal_policy,0.05,0.05,0.0,5,0,0,0.009882843613978,0.0086448392635965,0.15,True,False,False
0,two_tank,linear_narx,repair_only,normal_policy,normal_policy,0.1,0.1,0.0,10,0,0,0.0107364889782079,0.0084812117592164,0.15,True,False,False
0,two_tank,linear_narx,repair_only,normal_policy,normal_policy,0.2,0.2,0.0,20,0,0,0.0092204031263333,0.0085783235698111,0.15,True,False,False
0,two_tank,linear_narx,repair_only,normal_policy,normal_policy,0.4,0.4,0.0,40,0,0,0.0083369336432332,0.0089532767063705,0.15,True,False,False
0,two_tank,linear_narx,repair_only,normal_policy,normal_policy,0.6,0.6,0.0,60,0,0,0.008053433231636,0.009686698855335,0.15,True,False,False
0,two_tank,linear_narx,repair_only,normal_policy,normal_policy,0.8,0.8,0.0,80,0,0,0.0083567127562957,0.0101068463803949,0.15,True,False,False
0,two_tank,linear_narx,repair_only,normal_policy,normal_policy,1.0,1.0,0.0,100,0,0,0.0087067394811156,0.0,0.15,True,False,False
0,two_tank,linear_narx,combined_linear,normal_policy,normal_policy,0.05,0.05,0.0,5,0,0,0.0085752777562527,0.0087136585192662,0.15,True,False,False
0,two_tank,linear_narx,combined_linear,normal_policy,normal_policy,0.1,0.1,0.0,10,0,0,0.0064931689263538,0.008952691764978,0.15,True,False,False
0,two_tank,linear_narx,combined_linear,normal_policy,normal_policy,0.2,0.2,0.0,20,0,0,0.0092992356270206,0.0085586154446393,0.15,True,False,False
0,two_tank,linear_narx,combined_linear,normal_policy,normal_policy,0.4,0.4,0.0,40,0,0,0.0086755602837406,0.0087275256126989,0.15,True,False,False
0,two_tank,linear_narx,combined_linear,normal_policy,normal_policy,0.6,0.6,0.0,60,0,0,0.0083255432201362,0.0092785338725846,0.15,True,False,False
